"",BBK01.OEAE28V,BBK01.OEAE28V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:44,
2002-01,13.167,
2002-04,13.209,
2002-07,13.282,
2002-10,13.302,
2003-01,13.146,
2003-04,13.075,
2003-07,13.183,
2003-10,13.166,
2004-01,12.919,
2004-04,12.886,
2004-07,12.869,
2004-10,12.836,
2005-01,12.609,
2005-04,12.677,
2005-07,12.896,
2005-10,12.877,
2006-01,12.823,
2006-04,13.062,
2006-07,12.813,
2006-10,12.580,
2007-01,12.323,
2007-04,12.047,
2007-07,12.030,
2007-10,12.242,
2008-01,12.047,
2008-04,11.599,
2008-07,11.412,
2008-10,11.395,
2009-01,10.960,
2009-04,13.174,
2009-07,13.223,
2009-10,15.053,
2010-01,13.971,
2010-04,13.723,
2010-07,12.030,
2010-10,12.044,
2011-01,12.447,
2011-04,12.418,
2011-07,12.895,
2011-10,12.927,
2012-01,12.940,
2012-04,13.827,
2012-07,13.861,
2012-10,13.722,
2013-01,13.699,
2013-04,13.739,
2013-07,13.845,
2013-10,13.960,
2014-01,14.054,
2014-04,14.004,
2014-07,14.188,
