"",BBK01.OEXB14V,BBK01.OEXB14V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:35,
2002-01,0.182,
2002-04,0.185,
2002-07,0.191,
2002-10,0.152,
2003-01,0.135,
2003-04,0.109,
2003-07,0.105,
2003-10,0.108,
2004-01,0.101,
2004-04,0.087,
2004-07,0.083,
2004-10,0.079,
2005-01,0.081,
2005-04,0.073,
2005-07,0.063,
2005-10,0.058,
2006-01,0.070,
2006-04,0.068,
2006-07,0.065,
2006-10,0.061,
2007-01,0.066,
2007-04,0.070,
2007-07,0.068,
2007-10,0.072,
2008-01,0.069,
2008-04,0.068,
2008-07,0.065,
2008-10,0.069,
2009-01,0.074,
2009-04,0.072,
2009-07,0.073,
2009-10,0.069,
2010-01,0.065,
2010-04,0.073,
2010-07,0.072,
2010-10,0.072,
2011-01,0.066,
2011-04,0.067,
2011-07,0.066,
2011-10,0.064,
2012-01,0.064,
2012-04,0.065,
2012-07,0.062,
2012-10,0.070,
2013-01,0.068,
2013-04,0.069,
2013-07,0.061,
2013-10,0.060,
2014-01,0.056,
2014-04,0.056,
2014-07,0.059,
