"",BBK01.CEFL0J,BBK01.CEFL0J_FLAGS
"",Investment fund shares or units  debtor: Total                                           creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:15,
1999-01,275.0,
1999-04,290.5,
1999-07,295.0,
1999-10,324.1,
2000-01,359.7,
2000-04,362.8,
2000-07,379.9,
2000-10,370.7,
2001-01,369.7,
2001-04,383.8,
2001-07,361.6,
2001-10,396.6,
2002-01,411.1,
2002-04,393.1,
2002-07,386.0,
2002-10,391.1,
2003-01,399.4,
2003-04,422.9,
2003-07,425.4,
2003-10,429.7,
2004-01,435.1,
2004-04,435.0,
2004-07,435.4,
2004-10,424.9,
2005-01,439.1,
2005-04,455.5,
2005-07,474.6,
2005-10,479.2,
2006-01,398.4,
2006-04,381.6,
2006-07,389.0,
2006-10,399.5,
2007-01,403.8,
2007-04,423.6,
2007-07,422.0,
2007-10,426.0,
2008-01,406.8,
2008-04,409.6,
2008-07,394.9,
2008-10,345.1,
2009-01,333.3,
2009-04,352.6,
2009-07,372.8,
2009-10,379.0,
2010-01,389.0,
2010-04,381.7,
2010-07,386.6,
2010-10,395.6,
2011-01,386.4,
2011-04,381.4,
2011-07,350.4,
2011-10,355.5,
2012-01,367.4,
2012-04,357.6,
2012-07,368.8,
2012-10,373.4,
2013-01,386.7,
2013-04,382.0,
2013-07,389.4,
2013-10,398.3,
2014-01,405.3,
2014-04,420.6,
2014-07,431.7,
