"",BBK01.WT4055,BBK01.WT4055_FLAGS
"","DE0001135283 / Prices / 3,250 Bund 05/15",
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 12:36:38,
2005-05-18,123.980,
2005-05-19,99.160,
2005-05-20,99.020,
2005-05-21,.,No value available
2005-05-22,.,No value available
2005-05-23,98.910,
2005-05-24,99.570,
2005-05-25,99.740,
2005-05-26,99.540,
2005-05-27,99.530,
2005-05-28,.,No value available
2005-05-29,.,No value available
2005-05-30,99.260,
2005-05-31,99.600,
2005-06-01,99.800,
2005-06-02,100.120,
2005-06-03,100.380,
2005-06-04,.,No value available
2005-06-05,.,No value available
2005-06-06,100.270,
2005-06-07,100.590,
2005-06-08,101.030,
2005-06-09,100.960,
2005-06-10,101.040,
2005-06-11,.,No value available
2005-06-12,.,No value available
2005-06-13,100.810,
2005-06-14,100.520,
2005-06-15,100.260,
2005-06-16,99.190,
2005-06-17,99.800,
2005-06-18,.,No value available
2005-06-19,.,No value available
2005-06-20,99.570,
2005-06-21,100.300,
2005-06-22,100.870,
2005-06-23,100.810,
2005-06-24,101.110,
2005-06-25,.,No value available
2005-06-26,.,No value available
2005-06-27,101.080,
2005-06-28,100.990,
2005-06-29,100.480,
2005-06-30,100.840,
2005-07-01,100.870,
2005-07-02,.,No value available
2005-07-03,.,No value available
2005-07-04,100.540,
2005-07-05,100.160,
2005-07-06,100.310,
2005-07-07,100.830,
2005-07-08,100.520,
2005-07-09,.,No value available
2005-07-10,.,No value available
2005-07-11,100.560,
2005-07-12,100.150,
2005-07-13,100.010,
2005-07-14,99.900,
2005-07-15,99.720,
2005-07-16,.,No value available
2005-07-17,.,No value available
2005-07-18,99.880,
2005-07-19,99.570,
2005-07-20,99.700,
2005-07-21,99.920,
2005-07-22,99.930,
2005-07-23,.,No value available
2005-07-24,.,No value available
2005-07-25,100.170,
2005-07-26,100.090,
2005-07-27,100.330,
2005-07-28,100.160,
2005-07-29,100.280,
2005-07-30,.,No value available
2005-07-31,.,No value available
2005-08-01,99.710,
2005-08-02,99.570,
2005-08-03,99.260,
2005-08-04,99.340,
2005-08-05,99.340,
2005-08-06,.,No value available
2005-08-07,.,No value available
2005-08-08,99.030,
2005-08-09,99.010,
2005-08-10,99.260,
2005-08-11,99.070,
2005-08-12,99.590,
2005-08-13,.,No value available
2005-08-14,.,No value available
2005-08-15,99.780,
2005-08-16,99.700,
2005-08-17,100.060,
2005-08-18,100.410,
2005-08-19,100.550,
2005-08-20,.,No value available
2005-08-21,.,No value available
2005-08-22,100.430,
2005-08-23,100.510,
2005-08-24,100.590,
2005-08-25,100.840,
2005-08-26,100.850,
2005-08-27,.,No value available
2005-08-28,.,No value available
2005-08-29,100.930,
2005-08-30,100.660,
2005-08-31,101.020,
2005-09-01,101.170,
2005-09-02,101.650,
2005-09-03,.,No value available
2005-09-04,.,No value available
2005-09-05,101.710,
2005-09-06,101.480,
2005-09-07,101.490,
2005-09-08,101.390,
2005-09-09,101.500,
2005-09-10,.,No value available
2005-09-11,.,No value available
2005-09-12,101.520,
2005-09-13,101.950,
2005-09-14,101.340,
2005-09-15,101.180,
2005-09-16,100.990,
2005-09-17,.,No value available
2005-09-18,.,No value available
2005-09-19,101.130,
2005-09-20,101.440,
2005-09-21,101.700,
2005-09-22,102.030,
2005-09-23,102.770,
2005-09-24,.,No value available
2005-09-25,.,No value available
2005-09-26,101.190,
2005-09-27,100.950,
2005-09-28,100.850,
2005-09-29,101.180,
2005-09-30,100.920,
2005-10-01,.,No value available
2005-10-02,.,No value available
2005-10-03,100.630,
2005-10-04,100.420,
2005-10-05,100.720,
2005-10-06,100.600,
2005-10-07,100.490,
2005-10-08,.,No value available
2005-10-09,.,No value available
2005-10-10,100.700,
2005-10-11,100.660,
2005-10-12,100.440,
2005-10-13,99.990,
2005-10-14,99.850,
2005-10-15,.,No value available
2005-10-16,.,No value available
2005-10-17,99.730,
2005-10-18,99.520,
2005-10-19,99.930,
2005-10-20,99.620,
2005-10-21,99.830,
2005-10-22,.,No value available
2005-10-23,.,No value available
