"",BBFB1.Q.N.DE.PL.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:28,
1991-01,-0.647,
1991-04,-0.647,
1991-07,-0.647,
1991-10,-0.647,
1992-01,0.210,
1992-04,0.210,
1992-07,0.210,
1992-10,0.210,
1993-01,-1.584,
1993-04,-1.584,
1993-07,-1.584,
1993-10,-1.584,
1994-01,0.822,
1994-04,0.822,
1994-07,0.822,
1994-10,0.822,
1995-01,-0.190,
1995-04,-0.190,
1995-07,-0.190,
1995-10,-0.190,
1996-01,-1.124,
1996-04,-1.124,
1996-07,-1.124,
1996-10,-1.124,
1997-01,-,Nothing exists
1997-04,-0.051,
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-0.234,
1998-07,-0.017,
1998-10,-0.051,
1999-01,-1.000,
1999-04,-1.000,
1999-07,-1.000,
1999-10,-1.000,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-1.000,
2000-10,-1.000,
2001-01,1.781,
2001-04,-0.687,
2001-07,2.313,
2001-10,1.839,
2002-01,0.027,
2002-04,1.232,
2002-07,0.333,
2002-10,1.538,
2003-01,0.173,
2003-04,7.209,
2003-07,0.227,
2003-10,0.260,
2004-01,-4.771,
2004-04,-4.706,
2004-07,-5.036,
2004-10,-6.283,
2005-01,-7.767,
2005-04,-7.673,
2005-07,-8.140,
2005-10,-8.765,
2006-01,5.867,
2006-04,5.321,
2006-07,6.228,
2006-10,7.505,
2007-01,6.076,
2007-04,4.547,
2007-07,4.490,
2007-10,2.905,
2008-01,-5.404,
2008-04,3.009,
2008-07,-1.694,
2008-10,0.489,
2009-01,0.792,
2009-04,-4.524,
2009-07,17.842,
2009-10,33.892,
2010-01,11.274,
2010-04,-1.753,
2010-07,14.737,
2010-10,15.750,
2011-01,14.298,
2011-04,12.994,
2011-07,14.344,
2011-10,15.363,
2012-01,17.034,
2012-04,16.955,
2012-07,18.117,
2012-10,17.524,
2013-01,-7.033,
2013-04,0.855,
2013-07,1.792,
2013-10,-3.480,
2014-01,1.816,Provisional value
2014-04,1.843,Provisional value
2014-07,-5.138,Provisional value
2014-10,1.871,Provisional value
