"",BBAI3.Q.DE.N.V.LE.F51M.S1252.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.S1252.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Pension undertakings / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:12,
2005-10,7180,
2006-01,6868,
2006-04,6312,
2006-07,7319,
2006-10,7969,
2007-01,8224,
2007-04,8870,
2007-07,8443,
2007-10,8123,
2008-01,7522,
2008-04,7107,
2008-07,6477,
2008-10,5379,
2009-01,4347,
2009-04,4408,
2009-07,5430,
2009-10,5447,
2010-01,6207,
2010-04,5596,
2010-07,5568,
2010-10,5779,
2011-01,6096,
2011-04,5776,
2011-07,4602,
2011-10,4846,
2012-01,5842,
2012-04,5331,
2012-07,6110,
2012-10,6919,
2013-01,7376,
2013-04,7549,
2013-07,7819,
2013-10,8863,
2014-01,8609,
2014-04,8229,
2014-07,8530,
