"",BBK01.OEAA26H,BBK01.OEAA26H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:53,
2002-01,11.467,
2002-04,11.291,
2002-07,11.053,
2002-10,11.236,
2003-01,10.736,
2003-04,10.423,
2003-07,10.342,
2003-10,10.500,
2004-01,9.842,
2004-04,9.717,
2004-07,9.519,
2004-10,9.264,
2005-01,9.121,
2005-04,8.908,
2005-07,8.574,
2005-10,8.260,
2006-01,8.113,
2006-04,7.919,
2006-07,7.750,
2006-10,7.551,
2007-01,7.258,
2007-04,7.335,
2007-07,7.131,
2007-10,7.350,
2008-01,7.357,
2008-04,7.323,
2008-07,7.300,
2008-10,7.507,
2009-01,7.343,
2009-04,7.321,
2009-07,7.254,
2009-10,6.672,
2010-01,6.856,
2010-04,6.891,
2010-07,6.692,
2010-10,6.466,
2011-01,6.388,
2011-04,6.446,
2011-07,6.290,
2011-10,6.131,
2012-01,6.172,
2012-04,6.174,
2012-07,6.026,
2012-10,5.996,
2013-01,5.974,
2013-04,5.968,
2013-07,5.827,
2013-10,5.764,
2014-01,5.674,
2014-04,5.706,
2014-07,5.612,
