"",BBK01.OEXB06Q,BBK01.OEXB06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:37,
2002-01,1.681,
2002-04,1.563,
2002-07,1.546,
2002-10,1.598,
2003-01,1.746,
2003-04,1.727,
2003-07,1.718,
2003-10,1.357,
2004-01,1.361,
2004-04,1.297,
2004-07,1.245,
2004-10,0.484,
2005-01,0.495,
2005-04,0.482,
2005-07,0.492,
2005-10,0.512,
2006-01,0.592,
2006-04,0.616,
2006-07,0.590,
2006-10,0.586,
2007-01,0.613,
2007-04,0.613,
2007-07,0.625,
2007-10,0.660,
2008-01,0.643,
2008-04,0.688,
2008-07,0.675,
2008-10,0.630,
2009-01,0.574,
2009-04,0.566,
2009-07,0.565,
2009-10,0.514,
2010-01,0.532,
2010-04,0.551,
2010-07,0.541,
2010-10,0.541,
2011-01,0.563,
2011-04,0.570,
2011-07,0.551,
2011-10,0.494,
2012-01,0.484,
2012-04,0.512,
2012-07,0.530,
2012-10,0.517,
2013-01,0.544,
2013-04,0.538,
2013-07,0.550,
2013-10,0.530,
2014-01,0.530,
2014-04,1.070,
2014-07,0.584,
