"",BBK01.OEHM06G,BBK01.OEHM06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:56,
2002-01,0.157,
2002-04,0.158,
2002-07,0.157,
2002-10,0.156,
2003-01,0.140,
2003-04,0.146,
2003-07,0.144,
2003-10,0.119,
2004-01,0.092,
2004-04,0.107,
2004-07,0.153,
2004-10,0.126,
2005-01,0.121,
2005-04,0.121,
2005-07,0.116,
2005-10,0.131,
2006-01,0.104,
2006-04,0.110,
2006-07,0.116,
2006-10,0.136,
2007-01,0.111,
2007-04,0.110,
2007-07,0.106,
2007-10,0.113,
2008-01,0.100,
2008-04,0.105,
2008-07,0.105,
2008-10,0.123,
2009-01,0.145,
2009-04,0.136,
2009-07,0.149,
2009-10,0.139,
2010-01,0.127,
2010-04,0.129,
2010-07,0.117,
2010-10,0.121,
2011-01,0.117,
2011-04,0.128,
2011-07,0.129,
2011-10,0.170,
2012-01,0.125,
2012-04,0.133,
2012-07,0.141,
2012-10,0.160,
2013-01,0.156,
2013-04,0.173,
2013-07,0.183,
2013-10,0.183,
2014-01,0.172,
2014-04,0.160,
2014-07,0.145,
