"",BBK01.OEAD25Q,BBK01.OEAD25Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:22,
2002-01,0.057,
2002-04,0.056,
2002-07,0.053,
2002-10,0.058,
2003-01,0.056,
2003-04,0.055,
2003-07,0.055,
2003-10,0.058,
2004-01,0.062,
2004-04,0.057,
2004-07,0.061,
2004-10,0.060,
2005-01,0.063,
2005-04,0.059,
2005-07,0.052,
2005-10,0.060,
2006-01,0.056,
2006-04,0.056,
2006-07,0.048,
2006-10,0.052,
2007-01,0.049,
2007-04,0.050,
2007-07,0.053,
2007-10,0.053,
2008-01,0.040,
2008-04,0.044,
2008-07,0.044,
2008-10,0.046,
2009-01,0.045,
2009-04,0.044,
2009-07,0.043,
2009-10,0.040,
2010-01,0.026,
2010-04,0.024,
2010-07,0.021,
2010-10,0.020,
2011-01,0.021,
2011-04,0.020,
2011-07,0.020,
2011-10,0.021,
2012-01,0.020,
2012-04,0.023,
2012-07,0.023,
2012-10,0.025,
2013-01,0.025,
2013-04,0.021,
2013-07,0.025,
2013-10,0.024,
2014-01,0.026,
2014-04,0.025,
2014-07,0.020,
