"",BBK01.CEFM02,BBK01.CEFM02_FLAGS
"",Currency                                                           debtor: Total           creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:55,
1999-01,21.0,
1999-04,21.9,
1999-07,22.0,
1999-10,26.0,
2000-01,21.9,
2000-04,22.1,
2000-07,22.7,
2000-10,25.3,
2001-01,22.1,
2001-04,22.3,
2001-07,22.0,
2001-10,22.1,
2002-01,17.6,
2002-04,15.3,
2002-07,14.0,
2002-10,18.5,
2003-01,13.6,
2003-04,14.3,
2003-07,14.2,
2003-10,18.1,
2004-01,13.5,
2004-04,14.0,
2004-07,14.0,
2004-10,16.2,
2005-01,14.8,
2005-04,14.6,
2005-07,15.0,
2005-10,16.3,
2006-01,14.3,
2006-04,14.8,
2006-07,15.2,
2006-10,17.5,
2007-01,14.6,
2007-04,15.2,
2007-07,15.5,
2007-10,18.9,
2008-01,15.4,
2008-04,15.0,
2008-07,14.9,
2008-10,18.9,
2009-01,15.0,
2009-04,16.1,
2009-07,15.0,
2009-10,18.3,
2010-01,15.5,
2010-04,15.2,
2010-07,16.0,
2010-10,17.7,
2011-01,15.7,
2011-04,16.4,
2011-07,16.7,
2011-10,17.7,
2012-01,16.7,
2012-04,16.7,
2012-07,17.1,
2012-10,20.6,
2013-01,18.6,
2013-04,17.2,
2013-07,16.7,
2013-10,20.1,
2014-01,16.0,
2014-04,16.3,
2014-07,16.7,
