"",BBDE1.M.DE.W.BAA1.A2P320000.G.C.I10.A,BBDE1.M.DE.W.BAA1.A2P320000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Capital goods / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:38,
1991-01,69.1,
1991-02,73.4,
1991-03,83.0,
1991-04,76.5,
1991-05,74.0,
1991-06,84.6,
1991-07,72.2,
1991-08,65.2,
1991-09,80.2,
1991-10,80.6,
1991-11,85.0,
1991-12,82.7,
1992-01,68.0,
1992-02,75.2,
1992-03,82.2,
1992-04,77.0,
1992-05,75.0,
1992-06,79.8,
1992-07,69.0,
1992-08,62.5,
1992-09,78.6,
1992-10,76.8,
1992-11,78.4,
1992-12,73.8,
1993-01,58.5,
1993-02,61.9,
1993-03,71.2,
1993-04,65.2,
1993-05,65.2,
1993-06,68.4,
1993-07,59.5,
1993-08,57.1,
1993-09,70.6,
1993-10,69.1,
1993-11,70.5,
1993-12,70.8,
1994-01,54.9,
1994-02,63.4,
1994-03,70.7,
1994-04,67.5,
1994-05,65.5,
1994-06,71.5,
1994-07,65.1,
1994-08,56.3,
1994-09,73.3,
1994-10,73.4,
1994-11,75.5,
1994-12,73.5,
1995-01,58.1,
1995-02,64.4,
1995-03,73.1,
1995-04,68.0,
1995-05,67.8,
1995-06,72.9,
1995-07,66.6,
1995-08,57.9,
1995-09,75.1,
1995-10,70.3,
1995-11,74.9,
1995-12,75.7,
1996-01,59.6,
1996-02,64.4,
1996-03,73.7,
1996-04,67.9,
1996-05,66.7,
1996-06,73.7,
1996-07,66.4,
1996-08,59.2,
1996-09,75.4,
1996-10,71.9,
1996-11,77.4,
1996-12,74.7,
1997-01,59.9,
1997-02,65.7,
1997-03,76.6,
1997-04,69.6,
1997-05,67.7,
1997-06,77.4,
1997-07,73.0,
1997-08,60.7,
1997-09,77.0,
1997-10,76.0,
1997-11,80.2,
1997-12,78.8,
1998-01,64.8,
1998-02,71.8,
1998-03,83.7,
1998-04,76.1,
1998-05,75.5,
1998-06,81.3,
1998-07,79.0,
1998-08,67.0,
1998-09,82.1,
1998-10,81.6,
1998-11,83.8,
1998-12,82.7,
1999-01,66.5,
1999-02,72.2,
1999-03,82.1,
1999-04,77.2,
1999-05,75.9,
1999-06,82.4,
1999-07,77.8,
1999-08,69.2,
1999-09,84.2,
1999-10,83.6,
1999-11,86.5,
1999-12,83.1,
2000-01,70.1,
2000-02,77.6,
2000-03,89.4,
2000-04,83.6,
2000-05,83.5,
2000-06,89.2,
2000-07,86.8,
2000-08,75.8,
2000-09,94.3,
2000-10,90.8,
2000-11,95.0,
2000-12,92.5,
2001-01,78.3,
2001-02,85.7,
2001-03,96.4,
2001-04,86.6,
2001-05,85.7,
2001-06,93.5,
2001-07,85.9,
2001-08,77.4,
2001-09,94.4,
2001-10,88.7,
2001-11,91.0,
2001-12,88.0,
2002-01,75.2,
2002-02,80.5,
2002-03,92.6,
2002-04,85.5,
2002-05,81.8,
2002-06,93.4,
2002-07,86.2,
2002-08,77.6,
2002-09,93.3,
2002-10,89.3,
2002-11,95.7,
2002-12,89.0,
2003-01,77.4,
2003-02,84.5,
2003-03,94.7,
2003-04,85.5,
2003-05,83.6,
2003-06,88.5,
2003-07,88.2,
2003-08,74.6,
2003-09,91.5,
2003-10,91.3,
2003-11,98.1,
2003-12,92.4,
2004-01,77.9,
2004-02,84.1,
2004-03,96.0,
2004-04,89.1,
2004-05,89.7,
2004-06,95.1,
2004-07,92.9,
2004-08,80.6,
2004-09,98.1,
2004-10,97.8,
2004-11,97.0,
2004-12,91.1,
2005-01,81.3,
2005-02,86.3,
2005-03,101.4,
2005-04,93.0,
2005-05,89.8,
