"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.PT.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.PT.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Portugal,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:59,
2009-09,1152,
2009-10,1184,
2009-11,1229,
2009-12,1223,
2010-01,1153,
2010-02,1232,
2010-03,1369,
2010-04,1165,
2010-05,1163,
2010-06,1191,
2010-07,1276,
2010-08,1247,
2010-09,1191,
2010-10,1226,
2010-11,1048,
2010-12,1051,
2011-01,1036,
2011-02,1058,
2011-03,984,
2011-04,863,
2011-05,880,
2011-06,852,
2011-07,765,
2011-08,679,
2011-09,644,
2011-10,631,
2011-11,556,
2011-12,553,
2012-01,489,
2012-02,536,
2012-03,503,
2012-04,481,
2012-05,403,
2012-06,380,
2012-07,360,
2012-08,360,
2012-09,365,
2012-10,310,
2012-11,349,
2012-12,367,
2013-01,513,
2013-02,507,
2013-03,516,
2013-04,508,
2013-05,559,
2013-06,484,
2013-07,434,
2013-08,430,
2013-09,437,
2013-10,449,
2013-11,496,
2013-12,521,
2014-01,617,
2014-02,701,
2014-03,770,
2014-04,835,
2014-05,837,
2014-06,895,
2014-07,912,
2014-08,914,
2014-09,957,
2014-10,901,
2014-11,904,
