"",BBK01.OEYB06V,BBK01.OEYB06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:02,
2002-01,0.631,
2002-04,1.170,
2002-07,0.793,
2002-10,1.664,
2003-01,0.979,
2003-04,0.866,
2003-07,0.599,
2003-10,0.861,
2004-01,0.647,
2004-04,0.751,
2004-07,0.670,
2004-10,0.712,
2005-01,0.665,
2005-04,0.708,
2005-07,1.031,
2005-10,0.921,
2006-01,0.803,
2006-04,0.668,
2006-07,0.752,
2006-10,0.664,
2007-01,0.605,
2007-04,0.551,
2007-07,0.516,
2007-10,0.981,
2008-01,0.589,
2008-04,0.285,
2008-07,0.310,
2008-10,0.284,
2009-01,0.211,
2009-04,0.192,
2009-07,0.175,
2009-10,0.297,
2010-01,0.291,
2010-04,0.600,
2010-07,0.565,
2010-10,0.388,
2011-01,0.315,
2011-04,0.332,
2011-07,0.403,
2011-10,0.458,
2012-01,0.346,
2012-04,0.380,
2012-07,0.401,
2012-10,0.332,
2013-01,0.313,
2013-04,0.443,
2013-07,0.519,
2013-10,0.419,
2014-01,0.363,
2014-04,0.256,
2014-07,0.339,
