"",BBK01.TUD404,BBK01.TUD404_FLAGS
"",Lending to banks (MFIs) in the euro area / in the home country / Total / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:50,
1979-12,329340,
1980-01,310632,
1980-02,306770,
1980-03,307742,
1980-04,305129,
1980-05,309957,
1980-06,314179,
1980-07,315824,
1980-08,316194,
1980-09,319502,
1980-10,321066,
1980-11,337737,
1980-12,342244,
1981-01,331206,
1981-02,324029,
1981-03,329138,
1981-04,324894,
1981-05,333008,
1981-06,334274,
1981-07,333135,
1981-08,339544,
1981-09,338351,
1981-10,336877,
1981-11,356015,
1981-12,358520,
1982-01,347757,
1982-02,350788,
1982-03,358444,
1982-04,353212,
1982-05,357811,
1982-06,359114,
1982-07,355198,
1982-08,361674,
1982-09,367781,
1982-10,368543,
1982-11,384463,
1982-12,386044,
1983-01,380693,
1983-02,379421,
1983-03,376686,
1983-04,379662,
1983-05,393155,
1983-06,395176,
1983-07,392689,
1983-08,393472,
1983-09,390025,
1983-10,398685,
1983-11,405735,
1983-12,408705,
1984-01,396958,
1984-02,399048,
1984-03,394528,
1984-04,391080,
1984-05,390491,
1984-06,394326,
1984-07,399973,
1984-08,406310,
1984-09,411072,
1984-10,416450,
1984-11,431636,
1984-12,439556,
1985-01,418312,
1985-02,423618,
1985-03,417128,
1985-04,412925,
1985-05,416054,
1985-06,425320,
1985-07,426444,
1985-08,426840,
1985-09,434108,
1985-10,438475,
1985-11,451326,
1985-12,472050,
1986-01,457241,
1986-02,455288,
1986-03,461724,
1986-04,462821,
1986-05,460917,
1986-06,470241,
1986-07,466343,
1986-08,475585,
1986-09,476008,
1986-10,480307,
1986-11,504173,
1986-12,507719,
1987-01,496774,
1987-02,498348,
1987-03,506553,
1987-04,498159,
1987-05,511885,
1987-06,512229,
1987-07,507779,
1987-08,520542,
1987-09,520226,
1987-10,526426,
1987-11,548076,
1987-12,551056,
1988-01,539923,
1988-02,548701,
1988-03,534640,
1988-04,535398,
1988-05,542466,
1988-06,541721,
1988-07,544134,
1988-08,554598,
1988-09,555554,
1988-10,572452,
1988-11,585082,
1988-12,581764,
1989-01,564579,
1989-02,566106,
1989-03,563915,
1989-04,570360,
1989-05,569239,
1989-06,571377,
1989-07,579729,
1989-08,571560,
1989-09,574161,
1989-10,586860,
1989-11,606257,
1989-12,611129,
1990-01,600142,
1990-02,610660,
1990-03,601901,
1990-04,597375,
1990-05,602506,
1990-06,742350,
1990-07,754364,
1990-08,766873,
1990-09,772957,
1990-10,791368,
1990-11,801624,
1990-12,804639,
1991-01,780772,
1991-02,778595,
1991-03,768295,
1991-04,774694,
1991-05,771924,
1991-06,785318,
