"",BBK01.OEBM03L,BBK01.OEBM03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:30,
2002-01,4.333,
2002-04,4.806,
2002-07,4.949,
2002-10,4.561,
2003-01,5.121,
2003-04,5.690,
2003-07,3.964,
2003-10,3.879,
2004-01,6.847,
2004-04,7.017,
2004-07,5.397,
2004-10,4.462,
2005-01,4.774,
2005-04,6.614,
2005-07,8.628,
2005-10,5.961,
2006-01,7.425,
2006-04,8.764,
2006-07,8.064,
2006-10,6.863,
2007-01,9.276,
2007-04,13.718,
2007-07,11.539,
2007-10,13.305,
2008-01,12.971,
2008-04,15.435,
2008-07,16.403,
2008-10,12.311,
2009-01,12.203,
2009-04,17.462,
2009-07,10.232,
2009-10,10.612,
2010-01,9.909,
2010-04,10.688,
2010-07,10.262,
2010-10,10.938,
2011-01,11.653,
2011-04,12.391,
2011-07,12.580,
2011-10,13.680,
2012-01,13.370,
2012-04,15.668,
2012-07,13.874,
2012-10,16.743,
2013-01,14.890,
2013-04,14.436,
2013-07,13.083,
2013-10,16.127,
2014-01,15.647,
2014-04,17.396,
2014-07,18.457,
