"",BBSF2.M.1.S.00000.SON01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.S.00000.SON01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Other funds / Investment fund shares,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:22,
2009-09,52,
2009-10,46,
2009-11,220,
2009-12,310,
2010-01,381,
2010-02,394,
2010-03,419,
2010-04,355,
2010-05,455,
2010-06,509,
2010-07,483,
2010-08,487,
2010-09,514,
2010-10,557,
2010-11,563,
2010-12,725,
2011-01,720,
2011-02,707,
2011-03,732,
2011-04,752,
2011-05,797,
2011-06,816,
2011-07,948,
2011-08,960,
2011-09,938,
2011-10,2388,
2011-11,2636,
2011-12,2618,
2012-01,2810,
2012-02,2943,
2012-03,2979,
2012-04,2983,
2012-05,2916,
2012-06,2880,
2012-07,2964,
2012-08,2951,
2012-09,3070,
2012-10,3129,
2012-11,3350,
2012-12,3498,
2013-01,3425,
2013-02,3541,
2013-03,3723,
2013-04,3761,
2013-05,4062,
2013-06,3931,
2013-07,3958,
2013-08,3921,
2013-09,3969,
2013-10,4069,
2013-11,4095,
2013-12,4278,
2014-01,4220,
2014-02,4472,
2014-03,4385,
2014-04,4422,
2014-05,4582,
2014-06,4797,
2014-07,4911,
2014-08,6101,
2014-09,6026,
2014-10,5949,
2014-11,6352,
