"",BBFN1.M.DE.N.1.L.F1.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.F1.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Countries in Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:15,
1995-01,0.347,
1995-02,0.379,
1995-03,0.356,
1995-04,0.353,
1995-05,0.395,
1995-06,0.355,
1995-07,0.387,
1995-08,0.342,
1995-09,0.350,
1995-10,0.344,
1995-11,0.339,
1995-12,0.394,
1996-01,0.369,
1996-02,0.355,
1996-03,0.370,
1996-04,0.331,
1996-05,0.389,
1996-06,0.372,
1996-07,0.426,
1996-08,0.361,
1996-09,0.418,
1996-10,0.410,
1996-11,0.422,
1996-12,0.495,
1997-01,0.449,
1997-02,0.500,
1997-03,0.435,
1997-04,0.408,
1997-05,0.389,
1997-06,0.426,
1997-07,0.406,
1997-08,0.445,
1997-09,0.426,
1997-10,0.478,
1997-11,0.458,
1997-12,0.452,
1998-01,0.462,
1998-02,0.484,
1998-03,0.517,
1998-04,0.477,
1998-05,0.481,
1998-06,0.451,
1998-07,0.492,
1998-08,0.439,
1998-09,0.459,
1998-10,0.470,
1998-11,0.488,
1998-12,0.520,
1999-01,0.481,
1999-02,0.469,
1999-03,0.459,
1999-04,0.496,
1999-05,0.510,
1999-06,0.459,
1999-07,0.497,
1999-08,0.498,
1999-09,0.482,
1999-10,0.551,
1999-11,0.496,
1999-12,0.530,
2000-01,0.519,
2000-02,0.496,
2000-03,0.579,
2000-04,0.541,
2000-05,0.572,
2000-06,0.583,
2000-07,0.681,
2000-08,0.739,
2000-09,0.715,
2000-10,0.670,
2000-11,0.750,
2000-12,0.723,
2001-01,0.676,
2001-02,0.708,
2001-03,0.717,
2001-04,0.668,
2001-05,0.693,
2001-06,0.803,
2001-07,0.793,
2001-08,0.798,
2001-09,0.789,
2001-10,0.820,
2001-11,0.777,
2001-12,0.694,
2002-01,0.629,
2002-02,0.646,
2002-03,0.620,
2002-04,0.642,
2002-05,0.663,
2002-06,0.666,
2002-07,0.688,
2002-08,0.652,
2002-09,0.666,
2002-10,0.741,
2002-11,0.703,
2002-12,0.699,
2003-01,0.706,
2003-02,0.701,
2003-03,0.672,
2003-04,0.651,
2003-05,0.684,
2003-06,0.678,
2003-07,0.727,
2003-08,0.749,
2003-09,0.718,
2003-10,0.723,
2003-11,0.695,
2003-12,0.654,
2004-01,0.623,
2004-02,0.637,
2004-03,0.612,
2004-04,0.631,
2004-05,0.682,
2004-06,0.658,
2004-07,0.737,
2004-08,0.794,
2004-09,0.855,
2004-10,0.922,
2004-11,0.715,
2004-12,0.643,
2005-01,0.661,
2005-02,0.709,
2005-03,0.693,
2005-04,0.729,
2005-05,0.736,
2005-06,0.767,
2005-07,0.704,
2005-08,0.775,
2005-09,0.676,
2005-10,0.753,
2005-11,0.767,
2005-12,0.622,
2006-01,0.631,
2006-02,0.679,
2006-03,0.692,
2006-04,0.692,
2006-05,0.683,
2006-06,0.697,
2006-07,0.660,
2006-08,0.708,
2006-09,0.680,
2006-10,0.706,
2006-11,0.727,
2006-12,0.809,
2007-01,0.750,
2007-02,0.721,
2007-03,0.723,
2007-04,0.769,
2007-05,0.760,
2007-06,0.742,
2007-07,0.732,
2007-08,0.745,
2007-09,0.695,
2007-10,0.757,
2007-11,0.803,
2007-12,0.717,
2008-01,0.841,
2008-02,0.837,
2008-03,0.835,
2008-04,0.861,
2008-05,0.911,
2008-06,1.526,
2008-07,1.245,
2008-08,1.261,
2008-09,1.293,
2008-10,1.336,
2008-11,1.307,
2008-12,1.128,
2009-01,1.181,
2009-02,1.161,
2009-03,1.143,
2009-04,1.140,
2009-05,1.147,
2009-06,1.092,
2009-07,1.131,
2009-08,1.073,
2009-09,1.137,
2009-10,1.173,
2009-11,1.193,
2009-12,1.046,
2010-01,1.092,
2010-02,1.102,
2010-03,1.244,
2010-04,1.182,
2010-05,1.403,
2010-06,1.111,
2010-07,1.120,
2010-08,1.182,
2010-09,1.217,
2010-10,1.280,
2010-11,1.342,
2010-12,1.229,
2011-01,1.183,
2011-02,1.168,
2011-03,1.198,
2011-04,1.105,
2011-05,1.196,
2011-06,1.222,
2011-07,1.238,
2011-08,1.207,
2011-09,1.260,
2011-10,1.218,
2011-11,1.214,
2011-12,1.171,
2012-01,1.150,
2012-02,1.251,
2012-03,1.272,
2012-04,1.174,
2012-05,1.160,
2012-06,1.207,
2012-07,1.027,
2012-08,1.014,
2012-09,1.143,
2012-10,0.999,
2012-11,1.050,
2012-12,1.036,
2013-01,1.171,
2013-02,1.236,
2013-03,1.221,
2013-04,1.106,
2013-05,1.123,
2013-06,1.133,
2013-07,1.095,
2013-08,1.091,
2013-09,1.131,
2013-10,1.102,
2013-11,1.169,
2013-12,1.065,
2014-01,1.118,
2014-02,1.098,
2014-03,1.119,
2014-04,1.108,
2014-05,1.088,
2014-06,1.248,
2014-07,1.216,
2014-08,1.291,
2014-09,1.280,
2014-10,1.190,
2014-11,1.222,
2014-12,1.093,
