"",BBK01.OEAN06S,BBK01.OEAN06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:16,
2002-01,2.549,
2002-04,2.611,
2002-07,2.589,
2002-10,2.564,
2003-01,2.458,
2003-04,2.335,
2003-07,2.209,
2003-10,2.227,
2004-01,2.119,
2004-04,1.955,
2004-07,1.872,
2004-10,1.858,
2005-01,1.727,
2005-04,1.627,
2005-07,1.628,
2005-10,1.660,
2006-01,1.740,
2006-04,1.839,
2006-07,1.907,
2006-10,2.084,
2007-01,2.434,
2007-04,2.574,
2007-07,2.773,
2007-10,2.935,
2008-01,2.995,
2008-04,3.066,
2008-07,3.057,
2008-10,3.320,
2009-01,3.219,
2009-04,3.108,
2009-07,2.847,
2009-10,2.533,
2010-01,2.278,
2010-04,2.208,
2010-07,2.088,
2010-10,2.148,
2011-01,2.214,
2011-04,2.216,
2011-07,2.191,
2011-10,2.151,
2012-01,2.102,
2012-04,2.127,
2012-07,2.054,
2012-10,1.946,
2013-01,1.854,
2013-04,1.790,
2013-07,1.713,
2013-10,1.679,
2014-01,1.698,
2014-04,1.610,
2014-07,1.619,
