"",BBFN1.M.DE.N.1.A.NL.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NL.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / Netherlands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:48,
1968-12,0.009,
1969-01,.,No value available
1969-02,.,No value available
1969-03,.,No value available
1969-04,.,No value available
1969-05,.,No value available
1969-06,.,No value available
1969-07,.,No value available
1969-08,.,No value available
1969-09,.,No value available
1969-10,.,No value available
1969-11,.,No value available
1969-12,0.011,
1970-01,.,No value available
1970-02,.,No value available
1970-03,.,No value available
1970-04,.,No value available
1970-05,.,No value available
1970-06,.,No value available
1970-07,.,No value available
1970-08,.,No value available
1970-09,.,No value available
1970-10,.,No value available
1970-11,.,No value available
1970-12,0.013,
1971-01,.,No value available
1971-02,.,No value available
1971-03,.,No value available
1971-04,.,No value available
1971-05,.,No value available
1971-06,.,No value available
1971-07,.,No value available
1971-08,.,No value available
1971-09,.,No value available
1971-10,.,No value available
1971-11,.,No value available
1971-12,0.019,
1972-01,.,No value available
1972-02,.,No value available
1972-03,.,No value available
1972-04,.,No value available
1972-05,.,No value available
1972-06,.,No value available
1972-07,.,No value available
1972-08,.,No value available
1972-09,.,No value available
1972-10,.,No value available
1972-11,.,No value available
1972-12,0.015,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.014,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.033,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.024,
1976-01,0.022,
1976-02,0.025,
1976-03,0.026,
1976-04,0.026,
1976-05,0.038,
1976-06,0.038,
1976-07,0.045,
1976-08,0.030,
1976-09,0.033,
1976-10,0.031,
1976-11,0.040,
1976-12,0.027,
1977-01,0.029,
1977-02,0.023,
1977-03,0.026,
1977-04,0.037,
1977-05,0.051,
1977-06,0.057,
1977-07,0.053,
1977-08,0.050,
1977-09,0.039,
1977-10,0.034,
1977-11,0.030,
1977-12,0.036,
1978-01,0.034,
1978-02,0.036,
1978-03,0.043,
1978-04,0.055,
1978-05,0.049,
1978-06,0.059,
1978-07,0.031,
1978-08,0.025,
1978-09,0.030,
1978-10,0.029,
1978-11,0.031,
1978-12,0.039,
1979-01,0.030,
1979-02,0.027,
1979-03,0.028,
1979-04,0.037,
1979-05,0.032,
1979-06,0.036,
1979-07,0.053,
1979-08,0.058,
1979-09,0.036,
1979-10,0.054,
1979-11,0.078,
1979-12,0.060,
1980-01,0.060,
1980-02,0.071,
1980-03,0.085,
1980-04,0.098,
1980-05,0.095,
1980-06,0.077,
1980-07,0.088,
1980-08,0.070,
1980-09,0.052,
1980-10,0.059,
1980-11,0.054,
1980-12,0.106,
1981-01,0.077,
1981-02,0.078,
1981-03,0.078,
1981-04,0.090,
1981-05,0.105,
1981-06,0.056,
1981-07,0.074,
1981-08,0.063,
1981-09,0.066,
1981-10,0.069,
1981-11,0.064,
1981-12,0.059,
1982-01,0.065,
1982-02,0.056,
1982-03,0.045,
1982-04,0.048,
1982-05,0.052,
1982-06,0.063,
1982-07,0.060,
1982-08,0.072,
1982-09,0.062,
1982-10,0.057,
1982-11,0.068,
1982-12,0.101,
1983-01,0.061,
1983-02,0.052,
1983-03,0.060,
1983-04,0.064,
1983-05,0.082,
1983-06,0.065,
1983-07,0.065,
1983-08,0.052,
1983-09,0.056,
1983-10,0.065,
1983-11,0.060,
1983-12,0.058,
1984-01,0.077,
1984-02,0.064,
1984-03,0.065,
1984-04,0.056,
1984-05,0.087,
1984-06,0.063,
1984-07,0.064,
1984-08,0.049,
1984-09,0.039,
1984-10,0.047,
1984-11,0.040,
1984-12,0.046,
1985-01,0.070,
1985-02,0.072,
1985-03,0.094,
1985-04,0.100,
1985-05,0.079,
1985-06,0.064,
1985-07,0.059,
1985-08,0.067,
1985-09,0.087,
1985-10,0.138,
1985-11,0.167,
1985-12,0.073,
1986-01,0.139,
1986-02,0.195,
1986-03,0.218,
1986-04,0.213,
1986-05,0.285,
1986-06,0.259,
1986-07,0.415,
1986-08,0.353,
1986-09,0.338,
1986-10,0.453,
1986-11,0.287,
1986-12,0.301,
1987-01,0.358,
1987-02,0.283,
1987-03,0.299,
1987-04,0.331,
1987-05,0.316,
1987-06,0.295,
1987-07,0.378,
1987-08,0.455,
1987-09,0.496,
1987-10,0.550,
1987-11,0.653,
1987-12,0.477,
1988-01,0.414,
1988-02,0.405,
1988-03,0.404,
1988-04,0.423,
1988-05,0.567,
1988-06,0.492,
1988-07,0.477,
1988-08,0.440,
1988-09,0.460,
1988-10,0.491,
1988-11,0.483,
1988-12,0.650,
1989-01,0.693,
1989-02,0.524,
1989-03,0.683,
1989-04,0.720,
1989-05,0.902,
1989-06,0.842,
1989-07,0.699,
1989-08,1.058,
1989-09,1.146,
1989-10,1.265,
1989-11,1.225,
1989-12,1.112,
1990-01,1.202,
1990-02,1.357,
1990-03,1.669,
1990-04,1.836,
1990-05,1.957,
1990-06,1.882,
1990-07,1.860,
1990-08,2.163,
1990-09,2.068,
1990-10,2.259,
1990-11,2.000,
1990-12,2.127,
1991-01,2.202,
1991-02,2.468,
1991-03,2.510,
1991-04,2.463,
1991-05,2.392,
1991-06,2.257,
1991-07,2.691,
1991-08,2.748,
1991-09,2.425,
1991-10,2.570,
1991-11,2.814,
1991-12,2.721,
1992-01,2.669,
1992-02,1.359,
1992-03,1.214,
1992-04,1.133,
1992-05,1.098,
1992-06,1.067,
1992-07,1.149,
1992-08,1.094,
1992-09,0.892,
1992-10,0.755,
1992-11,0.746,
1992-12,0.429,
1993-01,0.842,
1993-02,0.779,
1993-03,0.745,
1993-04,0.619,
1993-05,0.686,
1993-06,0.533,
1993-07,0.479,
1993-08,0.533,
1993-09,0.607,
1993-10,0.656,
1993-11,0.569,
1993-12,0.573,
1994-01,0.690,
1994-02,0.600,
1994-03,0.719,
1994-04,0.624,
1994-05,0.712,
1994-06,0.766,
1994-07,0.979,
1994-08,0.761,
1994-09,0.868,
1994-10,0.634,
1994-11,0.821,
1994-12,0.685,
1995-01,0.591,
1995-02,0.691,
1995-03,0.721,
1995-04,0.954,
1995-05,0.832,
1995-06,0.634,
1995-07,0.615,
1995-08,0.557,
1995-09,0.787,
1995-10,1.035,
1995-11,0.796,
1995-12,0.274,
1996-01,0.406,
1996-02,0.544,
1996-03,0.753,
1996-04,0.608,
1996-05,0.624,
1996-06,0.596,
1996-07,0.768,
1996-08,0.437,
1996-09,0.603,
1996-10,0.598,
1996-11,0.569,
1996-12,0.720,
1997-01,0.885,
1997-02,0.789,
1997-03,0.751,
1997-04,0.917,
1997-05,0.845,
1997-06,0.908,
1997-07,0.835,
1997-08,0.597,
1997-09,0.492,
1997-10,0.479,
1997-11,0.503,
1997-12,0.486,
1998-01,0.531,
1998-02,0.651,
1998-03,0.864,
1998-04,0.767,
1998-05,0.667,
1998-06,0.973,
1998-07,0.930,
1998-08,0.761,
1998-09,0.732,
1998-10,0.723,
1998-11,0.571,
1998-12,0.605,
1999-01,1.045,
1999-02,1.455,
1999-03,1.206,
1999-04,1.189,
1999-05,1.038,
1999-06,1.408,
1999-07,1.501,
1999-08,1.393,
1999-09,1.277,
1999-10,1.094,
1999-11,0.885,
1999-12,0.627,
2000-01,0.944,
2000-02,1.458,
2000-03,2.985,
2000-04,2.910,
2000-05,2.897,
2000-06,2.283,
2000-07,1.055,
2000-08,2.315,
2000-09,0.926,
2000-10,0.706,
2000-11,1.390,
2000-12,0.725,
2001-01,0.793,
2001-02,2.086,
2001-03,1.514,
2001-04,0.950,
2001-05,1.246,
2001-06,0.992,
2001-07,1.072,
2001-08,0.769,
2001-09,1.131,
2001-10,1.015,
2001-11,0.913,
2001-12,0.891,
2002-01,2.036,
2002-02,2.089,
2002-03,2.063,
2002-04,1.437,
2002-05,2.158,
2002-06,1.672,
2002-07,1.211,
2002-08,1.594,
2002-09,0.978,
2002-10,1.555,
2002-11,1.236,
2002-12,1.400,
2003-01,1.054,
2003-02,1.303,
2003-03,1.281,
2003-04,1.800,
2003-05,2.878,
2003-06,2.979,
2003-07,3.228,
2003-08,2.948,
2003-09,3.326,
2003-10,3.038,
2003-11,3.010,
2003-12,2.648,
2004-01,2.744,
2004-02,3.573,
2004-03,3.413,
2004-04,2.750,
2004-05,2.472,
2004-06,3.257,
2004-07,3.280,
2004-08,3.252,
2004-09,3.525,
2004-10,3.258,
2004-11,2.666,
2004-12,3.829,
2005-01,2.951,
2005-02,3.585,
2005-03,3.118,
2005-04,3.601,
2005-05,3.652,
2005-06,2.718,
2005-07,3.248,
2005-08,3.526,
2005-09,2.653,
2005-10,3.083,
2005-11,3.732,
2005-12,3.243,
2006-01,3.143,
2006-02,2.993,
2006-03,2.644,
2006-04,3.360,
2006-05,3.802,
2006-06,3.449,
2006-07,3.294,
2006-08,3.782,
2006-09,3.550,
2006-10,3.195,
2006-11,3.439,
2006-12,2.554,
2007-01,2.188,
2007-02,2.880,
2007-03,3.137,
2007-04,2.283,
2007-05,2.434,
2007-06,2.328,
2007-07,2.624,
2007-08,3.466,
2007-09,2.427,
2007-10,3.209,
2007-11,4.900,
2007-12,3.186,
2008-01,2.275,
2008-02,2.646,
2008-03,3.984,
2008-04,3.331,
2008-05,3.330,
2008-06,2.764,
2008-07,2.303,
2008-08,3.773,
2008-09,4.148,
2008-10,4.071,
2008-11,4.157,
2008-12,4.311,
2009-01,3.689,
2009-02,4.347,
2009-03,5.527,
2009-04,5.584,
2009-05,4.428,
2009-06,5.015,
2009-07,5.267,
2009-08,5.163,
2009-09,5.256,
2009-10,5.302,
2009-11,5.273,
2009-12,4.851,
2010-01,5.426,
2010-02,5.051,
2010-03,4.682,
2010-04,5.148,
2010-05,5.207,
2010-06,5.522,
2010-07,5.634,
2010-08,6.213,
2010-09,5.693,
2010-10,5.726,
2010-11,7.156,
2010-12,6.029,
2011-01,5.769,
2011-02,6.088,
2011-03,6.112,
2011-04,6.418,
2011-05,6.167,
2011-06,6.286,
2011-07,6.474,
2011-08,6.618,
2011-09,6.159,
2011-10,5.689,
2011-11,5.720,
2011-12,6.026,
2012-01,7.361,
2012-02,7.207,
2012-03,7.644,
2012-04,8.212,
2012-05,8.069,
2012-06,8.926,
2012-07,8.612,
2012-08,9.312,
2012-09,9.631,
2012-10,9.139,
2012-11,10.426,
2012-12,10.313,
2013-01,11.432,
2013-02,10.818,
2013-03,11.406,
2013-04,10.407,
2013-05,10.601,
2013-06,10.977,
2013-07,10.008,
2013-08,11.029,
2013-09,11.288,
2013-10,11.319,
2013-11,11.728,
2013-12,8.507,
2014-01,8.942,
2014-02,9.697,
2014-03,10.253,
2014-04,9.561,
2014-05,10.983,
2014-06,10.752,
2014-07,10.414,
2014-08,10.328,
2014-09,9.748,
2014-10,10.737,
2014-11,9.073,
2014-12,8.273,
