"",BBFB1.Q.N.DE.DK.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:18,
1991-01,-8.189,
1991-04,4.998,
1991-07,12.207,
1991-10,0.177,
1992-01,-3.493,
1992-04,3.736,
1992-07,11.558,
1992-10,6.853,
1993-01,-0.824,
1993-04,3.236,
1993-07,-4.897,
1993-10,-1.615,
1994-01,-8.009,
1994-04,5.970,
1994-07,-1.975,
1994-10,-3.262,
1995-01,1.325,
1995-04,11.713,
1995-07,-7.780,
1995-10,0.174,
1996-01,5.124,
1996-04,6.008,
1996-07,5.925,
1996-10,6.069,
1997-01,-6.042,
1997-04,-0.999,
1997-07,-5.252,
1997-10,-5.492,
1998-01,-5.975,
1998-04,5.976,
1998-07,-6.117,
1998-10,0.909,
1999-01,-5.427,
1999-04,5.169,
1999-07,0.543,
1999-10,1.468,
2000-01,-0.584,
2000-04,12.785,
2000-07,-2.195,
2000-10,3.632,
2001-01,-6.810,
2001-04,10.448,
2001-07,-1.034,
2001-10,0.268,
2002-01,-2.583,
2002-04,-3.501,
2002-07,-12.693,
2002-10,-28.940,
2003-01,-15.467,
2003-04,1.740,
2003-07,-4.778,
2003-10,-1.128,
2004-01,3.415,
2004-04,0.922,
2004-07,4.455,
2004-10,15.757,
2005-01,-24.160,
2005-04,-30.987,
2005-07,-78.679,
2005-10,-92.669,
2006-01,-95.199,
2006-04,-46.095,
2006-07,-115.756,
2006-10,-13.917,
2007-01,0.898,
2007-04,24.554,
2007-07,6.971,
2007-10,-131.377,
2008-01,-52.670,
2008-04,-49.530,
2008-07,-109.912,
2008-10,-142.845,
2009-01,-24.426,
2009-04,-26.258,
2009-07,-120.275,
2009-10,-56.446,
2010-01,-9.463,
2010-04,-3.912,
2010-07,-14.443,
2010-10,4.637,
2011-01,-125.411,
2011-04,511.618,
2011-07,-84.351,
2011-10,-39.840,
2012-01,-99.186,
2012-04,-38.589,
2012-07,-72.230,
2012-10,-41.484,
2013-01,-69.319,
2013-04,-37.962,
2013-07,-58.962,
2013-10,-29.712,
2014-01,-30.069,Provisional value
2014-04,-12.005,Provisional value
2014-07,-18.542,Provisional value
