"",BBK01.OEAF39G,BBK01.OEAF39G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:53,
2002-01,0.623,
2002-04,0.625,
2002-07,0.646,
2002-10,0.639,
2003-01,0.634,
2003-04,0.606,
2003-07,0.606,
2003-10,0.602,
2004-01,0.596,
2004-04,0.598,
2004-07,0.551,
2004-10,0.546,
2005-01,0.429,
2005-04,0.424,
2005-07,0.435,
2005-10,0.428,
2006-01,0.420,
2006-04,0.414,
2006-07,0.407,
2006-10,0.406,
2007-01,0.406,
2007-04,0.372,
2007-07,0.379,
2007-10,0.382,
2008-01,0.391,
2008-04,0.389,
2008-07,0.386,
2008-10,0.392,
2009-01,0.398,
2009-04,0.401,
2009-07,0.412,
2009-10,0.420,
2010-01,0.427,
2010-04,0.436,
2010-07,0.439,
2010-10,0.453,
2011-01,0.461,
2011-04,0.463,
2011-07,0.454,
2011-10,0.456,
2012-01,0.458,
2012-04,0.458,
2012-07,0.466,
2012-10,0.470,
2013-01,0.465,
2013-04,0.465,
2013-07,0.459,
2013-10,0.462,
2014-01,0.455,
2014-04,0.447,
2014-07,0.409,
