"",BBK01.OEYI01H,BBK01.OEYI01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:34,
2002-01,72.689,
2002-04,68.556,
2002-07,68.528,
2002-10,69.175,
2003-01,73.234,
2003-04,74.045,
2003-07,71.230,
2003-10,76.136,
2004-01,77.197,
2004-04,78.492,
2004-07,76.544,
2004-10,79.871,
2005-01,78.820,
2005-04,79.807,
2005-07,79.062,
2005-10,78.694,
2006-01,80.430,
2006-04,80.305,
2006-07,85.462,
2006-10,82.836,
2007-01,89.867,
2007-04,89.884,
2007-07,91.222,
2007-10,90.146,
2008-01,104.816,
2008-04,108.419,
2008-07,107.216,
2008-10,94.029,
2009-01,100.299,
2009-04,96.625,
2009-07,104.069,
2009-10,104.739,
2010-01,108.425,
2010-04,110.324,
2010-07,108.178,
2010-10,117.719,
2011-01,112.051,
2011-04,108.294,
2011-07,113.344,
2011-10,106.749,
2012-01,102.827,
2012-04,106.298,
2012-07,102.400,
2012-10,104.583,
2013-01,105.624,
2013-04,104.062,
2013-07,92.075,
2013-10,91.365,
2014-01,93.302,
2014-04,92.979,
2014-07,91.919,
