"",BBK01.OEBL04H,BBK01.OEBL04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:20,
2002-01,6.806,
2002-04,6.540,
2002-07,6.401,
2002-10,6.010,
2003-01,5.291,
2003-04,4.580,
2003-07,4.223,
2003-10,3.918,
2004-01,3.398,
2004-04,3.056,
2004-07,2.992,
2004-10,2.879,
2005-01,3.060,
2005-04,3.057,
2005-07,2.981,
2005-10,3.460,
2006-01,3.445,
2006-04,3.820,
2006-07,4.557,
2006-10,5.637,
2007-01,6.333,
2007-04,7.028,
2007-07,9.199,
2007-10,10.995,
2008-01,12.423,
2008-04,13.336,
2008-07,15.095,
2008-10,16.372,
2009-01,13.589,
2009-04,12.716,
2009-07,10.810,
2009-10,8.734,
2010-01,6.506,
2010-04,5.724,
2010-07,4.659,
2010-10,4.123,
2011-01,4.007,
2011-04,4.517,
2011-07,4.695,
2011-10,5.060,
2012-01,5.080,
2012-04,4.915,
2012-07,4.401,
2012-10,3.725,
2013-01,3.250,
2013-04,3.829,
2013-07,3.870,
2013-10,3.975,
2014-01,4.013,
2014-04,3.540,
2014-07,3.309,
