"",BBK01.OELM02N,BBK01.OELM02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:34,
2002-01,0.128,
2002-04,0.120,
2002-07,0.099,
2002-10,0.162,
2003-01,0.118,
2003-04,0.113,
2003-07,0.116,
2003-10,0.132,
2004-01,0.115,
2004-04,0.125,
2004-07,0.123,
2004-10,0.134,
2005-01,0.127,
2005-04,0.162,
2005-07,0.210,
2005-10,0.173,
2006-01,0.213,
2006-04,0.288,
2006-07,0.170,
2006-10,0.275,
2007-01,0.158,
2007-04,0.304,
2007-07,0.202,
2007-10,0.299,
2008-01,0.201,
2008-04,0.350,
2008-07,0.172,
2008-10,0.316,
2009-01,0.252,
2009-04,0.364,
2009-07,0.482,
2009-10,0.382,
2010-01,0.322,
2010-04,0.430,
2010-07,0.363,
2010-10,0.447,
2011-01,0.327,
2011-04,0.412,
2011-07,0.425,
2011-10,0.410,
2012-01,0.597,
2012-04,0.726,
2012-07,0.688,
2012-10,0.762,
2013-01,0.999,
2013-04,0.926,
2013-07,0.936,
2013-10,1.208,
2014-01,1.059,
2014-04,1.027,
2014-07,0.868,
