"",BBK01.OEAE15M,BBK01.OEAE15M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:24,
2002-01,1.088,
2002-04,1.078,
2002-07,1.065,
2002-10,0.991,
2003-01,0.961,
2003-04,0.946,
2003-07,0.902,
2003-10,0.898,
2004-01,0.876,
2004-04,0.885,
2004-07,0.835,
2004-10,0.817,
2005-01,0.846,
2005-04,0.818,
2005-07,0.761,
2005-10,0.692,
2006-01,0.708,
2006-04,0.692,
2006-07,0.662,
2006-10,0.685,
2007-01,0.661,
2007-04,0.757,
2007-07,0.726,
2007-10,0.740,
2008-01,0.742,
2008-04,0.761,
2008-07,0.825,
2008-10,0.927,
2009-01,0.859,
2009-04,0.847,
2009-07,0.780,
2009-10,0.711,
2010-01,0.780,
2010-04,0.802,
2010-07,0.736,
2010-10,0.633,
2011-01,0.659,
2011-04,0.664,
2011-07,0.622,
2011-10,0.656,
2012-01,0.634,
2012-04,0.652,
2012-07,0.634,
2012-10,0.616,
2013-01,0.660,
2013-04,0.718,
2013-07,0.679,
2013-10,0.724,
2014-01,0.717,
2014-04,0.708,
2014-07,0.696,
