"",BBK01.OEBL01V,BBK01.OEBL01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:05,
2002-01,5.108,
2002-04,4.971,
2002-07,4.950,
2002-10,5.124,
2003-01,4.986,
2003-04,4.679,
2003-07,4.654,
2003-10,4.780,
2004-01,4.661,
2004-04,4.666,
2004-07,4.642,
2004-10,4.544,
2005-01,6.688,
2005-04,6.647,
2005-07,6.441,
2005-10,6.540,
2006-01,6.564,
2006-04,6.439,
2006-07,6.313,
2006-10,6.689,
2007-01,6.923,
2007-04,7.115,
2007-07,7.286,
2007-10,7.792,
2008-01,7.956,
2008-04,8.180,
2008-07,8.464,
2008-10,9.318,
2009-01,9.370,
2009-04,9.070,
2009-07,8.902,
2009-10,8.769,
2010-01,8.606,
2010-04,8.641,
2010-07,8.644,
2010-10,8.901,
2011-01,8.969,
2011-04,9.095,
2011-07,9.211,
2011-10,9.405,
2012-01,9.555,
2012-04,9.563,
2012-07,9.311,
2012-10,9.316,
2013-01,9.171,
2013-04,9.123,
2013-07,9.069,
2013-10,9.239,
2014-01,9.246,
2014-04,9.305,
2014-07,9.420,
