"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.P.F._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.P.F._Z._T.M.N_FLAGS
"",IIP - Portfolio investment - Liabilities - Positions - all countries - all sectors - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:47,
1999-10,1078666,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,1121141,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,1207024,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,1240729,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,1372034,
2004-01,1436832,
2004-04,1423781,
2004-07,1486773,
2004-10,1529120,
2005-01,1593378,
2005-04,1719279,
2005-07,1772321,
2005-10,1792018,
2006-01,1830056,
2006-04,1770798,
2006-07,1842526,
2006-10,1904308,
2007-01,1977997,
2007-04,2101654,
2007-07,2148571,
2007-10,2237860,
2008-01,2154251,
2008-04,2087349,
2008-07,2126308,
2008-10,2119433,
2009-01,2125749,
2009-04,2140043,
2009-07,2221359,
2009-10,2216468,
2010-01,2299232,
2010-04,2361431,
2010-07,2413155,
2010-10,2372591,
2011-01,2359257,
2011-04,2432138,
2011-07,2469410,
2011-10,2482577,
2012-01,2555931,
2012-04,2576499,
2012-07,2641223,
2012-10,2674450,
2013-01,2677962,
2013-04,2587944,
2013-07,2578871,
2013-10,2576266,
2014-01,2630362,
2014-04,2692117,
2014-07,2730804,
