"",BBK01.OEAC08Q,BBK01.OEAC08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:23,
2002-01,1.041,
2002-04,1.038,
2002-07,1.060,
2002-10,1.042,
2003-01,1.101,
2003-04,1.195,
2003-07,1.341,
2003-10,2.121,
2004-01,1.933,
2004-04,1.730,
2004-07,1.700,
2004-10,1.984,
2005-01,1.857,
2005-04,2.060,
2005-07,1.887,
2005-10,2.197,
2006-01,2.169,
2006-04,2.043,
2006-07,2.004,
2006-10,2.184,
2007-01,2.153,
2007-04,2.061,
2007-07,2.146,
2007-10,1.966,
2008-01,1.797,
2008-04,4.489,
2008-07,3.338,
2008-10,1.183,
2009-01,1.309,
2009-04,3.374,
2009-07,3.323,
2009-10,4.028,
2010-01,2.653,
2010-04,4.331,
2010-07,3.273,
2010-10,3.602,
2011-01,4.340,
2011-04,1.784,
2011-07,1.758,
2011-10,1.671,
2012-01,4.281,
2012-04,4.370,
2012-07,7.487,
2012-10,2.953,
2013-01,1.402,
2013-04,1.240,
2013-07,1.187,
2013-10,1.166,
2014-01,1.103,
2014-04,1.099,
2014-07,1.175,
