"",BBK01.OEAH97G,BBK01.OEAH97G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:42,
2002-01,0.727,
2002-04,0.697,
2002-07,0.702,
2002-10,0.677,
2003-01,0.627,
2003-04,0.587,
2003-07,0.550,
2003-10,0.547,
2004-01,0.551,
2004-04,0.535,
2004-07,0.536,
2004-10,0.544,
2005-01,0.554,
2005-04,0.552,
2005-07,0.529,
2005-10,0.525,
2006-01,0.535,
2006-04,0.557,
2006-07,0.582,
2006-10,0.644,
2007-01,0.698,
2007-04,0.724,
2007-07,0.751,
2007-10,0.792,
2008-01,0.810,
2008-04,0.814,
2008-07,0.819,
2008-10,0.898,
2009-01,0.880,
2009-04,0.861,
2009-07,0.865,
2009-10,0.880,
2010-01,0.844,
2010-04,0.803,
2010-07,0.765,
2010-10,0.746,
2011-01,0.715,
2011-04,0.697,
2011-07,0.701,
2011-10,0.710,
2012-01,0.726,
2012-04,0.744,
2012-07,0.728,
2012-10,0.726,
2013-01,0.673,
2013-04,0.636,
2013-07,0.617,
2013-10,0.619,
2014-01,0.618,
2014-04,0.588,
2014-07,0.589,
