"",BBDE1.M.DE.Y.AEA1.A2Q610000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2Q610000.F.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / Capital goods excluding 30 Manufacture of other transport equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:30,
1995-01,55.9,
1995-02,57.6,
1995-03,57.3,
1995-04,55.8,
1995-05,57.2,
1995-06,55.3,
1995-07,56.6,
1995-08,55.6,
1995-09,57.3,
1995-10,54.6,
1995-11,55.0,
1995-12,58.0,
1996-01,56.6,
1996-02,55.9,
1996-03,58.2,
1996-04,58.9,
1996-05,58.8,
1996-06,59.2,
1996-07,59.3,
1996-08,59.7,
1996-09,59.1,
1996-10,62.1,
1996-11,60.7,
1996-12,59.7,
1997-01,61.3,
1997-02,59.4,
1997-03,63.0,
1997-04,63.6,
1997-05,62.8,
1997-06,63.7,
1997-07,63.7,
1997-08,63.6,
1997-09,65.1,
1997-10,64.1,
1997-11,65.4,
1997-12,64.4,
1998-01,66.8,
1998-02,66.3,
1998-03,67.9,
1998-04,68.9,
1998-05,67.2,
1998-06,68.2,
1998-07,68.1,
1998-08,66.7,
1998-09,68.3,
1998-10,66.4,
1998-11,66.4,
1998-12,69.6,
1999-01,67.1,
1999-02,66.9,
1999-03,67.4,
1999-04,68.3,
1999-05,68.6,
1999-06,71.6,
1999-07,71.3,
1999-08,74.3,
1999-09,72.6,
1999-10,73.0,
1999-11,74.2,
1999-12,74.0,
2000-01,73.7,
2000-02,77.9,
2000-03,77.1,
2000-04,80.4,
2000-05,81.3,
2000-06,80.6,
2000-07,82.9,
2000-08,83.2,
2000-09,83.4,
2000-10,84.4,
2000-11,84.6,
2000-12,83.7,
2001-01,82.6,
2001-02,84.8,
2001-03,83.3,
2001-04,81.1,
2001-05,82.8,
2001-06,82.1,
2001-07,81.5,
2001-08,83.0,
2001-09,80.8,
2001-10,79.3,
2001-11,78.9,
2001-12,82.2,
2002-01,81.0,
2002-02,79.6,
2002-03,81.4,
2002-04,81.5,
2002-05,83.6,
2002-06,83.6,
2002-07,81.7,
2002-08,86.7,
2002-09,83.4,
2002-10,82.6,
2002-11,84.6,
2002-12,80.0,
2003-01,83.6,
2003-02,83.8,
2003-03,80.8,
2003-04,81.3,
2003-05,80.3,
2003-06,80.4,
2003-07,82.0,
2003-08,82.1,
2003-09,83.4,
2003-10,84.7,
2003-11,86.0,
2003-12,86.7,
2004-01,84.6,
2004-02,85.5,
2004-03,87.8,
2004-04,89.2,
2004-05,90.4,
2004-06,89.1,
2004-07,90.2,
2004-08,87.4,
2004-09,88.5,
2004-10,88.5,
2004-11,87.5,
2004-12,92.3,
2005-01,90.5,
2005-02,88.3,
2005-03,90.5,
2005-04,90.5,
2005-05,90.0,
2005-06,95.0,
2005-07,94.1,
2005-08,94.3,
2005-09,96.8,
2005-10,99.5,
2005-11,100.7,
2005-12,97.2,
2006-01,102.3,
2006-02,99.7,
2006-03,100.1,
2006-04,103.1,
2006-05,104.3,
2006-06,101.3,
2006-07,102.5,
2006-08,105.2,
2006-09,105.8,
2006-10,106.5,
2006-11,106.2,
2006-12,106.7,
2007-01,111.6,
2007-02,115.4,
2007-03,114.2,
2007-04,110.2,
2007-05,115.8,
2007-06,116.3,
2007-07,116.4,
2007-08,115.2,
2007-09,113.6,
2007-10,120.1,
2007-11,118.1,
2007-12,122.2,
2008-01,117.3,
2008-02,118.4,
2008-03,116.5,
2008-04,118.7,
2008-05,109.8,
2008-06,110.1,
2008-07,105.0,
2008-08,110.5,
2008-09,103.3,
2008-10,93.5,
2008-11,86.3,
2008-12,78.4,
2009-01,71.9,
2009-02,72.7,
2009-03,76.4,
2009-04,73.3,
2009-05,75.6,
2009-06,79.7,
2009-07,76.6,
2009-08,83.9,
2009-09,86.0,
2009-10,83.7,
2009-11,87.2,
2009-12,85.9,
2010-01,85.0,
2010-02,90.2,
2010-03,92.3,
2010-04,98.1,
2010-05,99.5,
2010-06,100.2,
2010-07,101.1,
2010-08,103.8,
2010-09,103.3,
2010-10,104.3,
2010-11,110.1,
2010-12,107.3,
2011-01,111.2,
2011-02,112.9,
2011-03,108.8,
2011-04,108.5,
2011-05,106.7,
2011-06,113.7,
2011-07,112.0,
2011-08,110.0,
2011-09,108.8,
2011-10,110.0,
2011-11,107.4,
2011-12,107.3,
2012-01,107.7,
2012-02,109.3,
2012-03,109.1,
2012-04,110.3,
2012-05,111.8,
2012-06,110.0,
2012-07,111.4,
2012-08,109.0,
2012-09,108.8,
2012-10,108.9,
2012-11,108.0,
2012-12,111.1,
2013-01,107.6,
2013-02,108.4,
2013-03,111.6,
2013-04,109.8,
2013-05,111.8,
2013-06,114.9,
2013-07,109.2,
2013-08,115.9,
2013-09,113.6,
2013-10,110.8,
2013-11,114.4,
2013-12,117.4,
2014-01,116.9,
2014-02,115.6,
2014-03,114.7,
2014-04,114.3,
2014-05,111.9,
2014-06,115.2,
2014-07,117.4,
2014-08,116.2,
2014-09,118.2,
2014-10,121.4,
2014-11,119.1,
2014-12,124.1,Provisional value
