"",BBK01.OEAC16P,BBK01.OEAC16P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:20,
2002-01,2.478,
2002-04,2.519,
2002-07,2.491,
2002-10,2.033,
2003-01,2.160,
2003-04,2.010,
2003-07,1.941,
2003-10,1.784,
2004-01,1.648,
2004-04,1.571,
2004-07,1.657,
2004-10,1.549,
2005-01,1.581,
2005-04,1.592,
2005-07,1.539,
2005-10,1.505,
2006-01,1.488,
2006-04,1.608,
2006-07,1.576,
2006-10,1.564,
2007-01,1.537,
2007-04,1.514,
2007-07,1.503,
2007-10,1.482,
2008-01,1.440,
2008-04,1.530,
2008-07,1.502,
2008-10,1.481,
2009-01,1.462,
2009-04,1.414,
2009-07,1.333,
2009-10,1.321,
2010-01,1.398,
2010-04,1.261,
2010-07,1.223,
2010-10,1.243,
2011-01,1.339,
2011-04,1.366,
2011-07,1.338,
2011-10,1.327,
2012-01,1.690,
2012-04,1.488,
2012-07,1.526,
2012-10,1.424,
2013-01,1.449,
2013-04,1.442,
2013-07,1.446,
2013-10,1.428,
2014-01,1.418,
2014-04,1.373,
2014-07,1.417,
