"",BBK01.OEHJ04H,BBK01.OEHJ04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:31,
2002-01,2.045,
2002-04,2.072,
2002-07,2.082,
2002-10,2.006,
2003-01,1.933,
2003-04,1.828,
2003-07,1.795,
2003-10,1.827,
2004-01,1.661,
2004-04,1.608,
2004-07,1.710,
2004-10,1.777,
2005-01,1.693,
2005-04,1.667,
2005-07,1.678,
2005-10,1.904,
2006-01,2.040,
2006-04,2.104,
2006-07,2.374,
2006-10,2.379,
2007-01,2.546,
2007-04,2.523,
2007-07,2.878,
2007-10,2.933,
2008-01,2.950,
2008-04,3.127,
2008-07,3.459,
2008-10,3.719,
2009-01,2.916,
2009-04,2.329,
2009-07,2.053,
2009-10,2.502,
2010-01,2.085,
2010-04,1.909,
2010-07,1.953,
2010-10,2.226,
2011-01,2.227,
2011-04,2.154,
2011-07,2.161,
2011-10,2.333,
2012-01,2.097,
2012-04,1.695,
2012-07,1.510,
2012-10,1.435,
2013-01,1.288,
2013-04,1.234,
2013-07,1.146,
2013-10,1.135,
2014-01,1.087,
2014-04,0.921,
2014-07,1.029,
