"",BBFB1.Q.N.DE.I7.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:43,
1991-01,42335.244,
1991-04,42252.830,
1991-07,40701.547,
1991-10,43666.776,
1992-01,44928.155,
1992-04,42835.586,
1992-07,41534.391,
1992-10,42223.889,
1993-01,38339.819,
1993-04,36742.635,
1993-07,33933.628,
1993-10,37087.501,
1994-01,38548.988,
1994-04,40413.926,
1994-07,38151.216,
1994-10,41559.018,
1995-01,43528.830,
1995-04,43779.172,
1995-07,40725.123,
1995-10,44332.218,
1996-01,45467.744,
1996-04,43831.831,
1996-07,42115.512,
1996-10,46255.285,
1997-01,45527.198,
1997-04,48120.758,
1997-07,46285.230,
1997-10,51225.784,
1998-01,51863.747,
1998-04,53967.837,
1998-07,49537.644,
1998-10,53725.429,
1999-01,53469.983,
1999-04,56811.045,
1999-07,53942.405,
1999-10,60458.653,
2000-01,63719.113,
2000-04,64601.532,
2000-07,61264.523,
2000-10,71080.698,
2001-01,69485.369,
2001-04,67912.563,
2001-07,63823.831,
2001-10,66719.085,
2002-01,64709.105,
2002-04,69179.591,
2002-07,64986.983,
2002-10,70506.452,
2003-01,68782.082,
2003-04,68191.407,
2003-07,67195.608,
2003-10,74823.368,
2004-01,74492.879,
2004-04,77518.831,
2004-07,74405.126,
2004-10,79539.192,
2005-01,79483.236,
2005-04,84732.506,
2005-07,79395.944,
2005-10,90451.992,
2006-01,92240.488,
2006-04,92367.820,
2006-07,88122.784,
2006-10,95494.417,
2007-01,102504.822,
2007-04,103225.727,
2007-07,96709.406,
2007-10,103425.612,
2008-01,103689.167,
2008-04,105816.994,
2008-07,98093.411,
2008-10,91870.660,
2009-01,82431.588,
2009-04,76310.385,
2009-07,77410.218,
2009-10,83546.744,
2010-01,86397.799,
2010-04,91243.580,
2010-07,89058.094,
2010-10,96532.741,
2011-01,101485.775,
2011-04,101865.446,
2011-07,95402.915,
2011-10,96061.363,
2012-01,102001.855,
2012-04,96916.307,
2012-07,91991.466,
2012-10,94142.961,
2013-01,98205.106,
2013-04,97130.643,
2013-07,93429.389,
2013-10,96165.760,
2014-01,100958.294,Provisional value
2014-04,99003.562,Provisional value
2014-07,97240.234,Provisional value
