"",BBFN1.M.DE.N.1.A.U2.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U2.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:02,
1995-01,59.810,
1995-02,58.710,
1995-03,60.153,
1995-04,61.168,
1995-05,62.872,
1995-06,61.086,
1995-07,59.747,
1995-08,59.434,
1995-09,58.385,
1995-10,60.873,
1995-11,59.135,
1995-12,54.748,
1996-01,55.502,
1996-02,58.352,
1996-03,63.144,
1996-04,62.845,
1996-05,62.471,
1996-06,59.693,
1996-07,57.516,
1996-08,56.216,
1996-09,57.128,
1996-10,56.199,
1996-11,58.809,
1996-12,56.705,
1997-01,62.478,
1997-02,64.808,
1997-03,64.803,
1997-04,63.997,
1997-05,63.428,
1997-06,62.359,
1997-07,65.151,
1997-08,60.575,
1997-09,58.505,
1997-10,58.894,
1997-11,57.742,
1997-12,55.263,
1998-01,60.015,
1998-02,59.608,
1998-03,62.597,
1998-04,65.086,
1998-05,65.018,
1998-06,62.810,
1998-07,63.796,
1998-08,64.091,
1998-09,66.109,
1998-10,67.404,
1998-11,67.398,
1998-12,62.677,
1999-01,60.829,
1999-02,60.455,
1999-03,63.160,
1999-04,64.919,
1999-05,64.533,
1999-06,67.419,
1999-07,68.979,
1999-08,69.247,
1999-09,69.942,
1999-10,65.679,
1999-11,65.701,
1999-12,64.693,
2000-01,67.326,
2000-02,67.941,
2000-03,68.582,
2000-04,68.719,
2000-05,64.716,
2000-06,64.331,
2000-07,64.721,
2000-08,83.253,
2000-09,77.814,
2000-10,79.359,
2000-11,78.772,
2000-12,75.713,
2001-01,84.882,
2001-02,88.357,
2001-03,89.108,
2001-04,86.712,
2001-05,87.285,
2001-06,88.005,
2001-07,90.613,
2001-08,86.896,
2001-09,77.735,
2001-10,78.328,
2001-11,80.399,
2001-12,80.386,
2002-01,91.462,
2002-02,90.629,
2002-03,92.946,
2002-04,97.167,
2002-05,104.830,
2002-06,96.899,
2002-07,92.633,
2002-08,94.195,
2002-09,96.621,
2002-10,93.659,
2002-11,87.784,
2002-12,87.063,
2003-01,96.392,
2003-02,97.826,
2003-03,99.576,
2003-04,108.491,
2003-05,113.003,
2003-06,109.938,
2003-07,112.848,
2003-08,107.125,
2003-09,111.601,
2003-10,110.083,
2003-11,108.512,
2003-12,105.166,
2004-01,115.897,
2004-02,112.815,
2004-03,116.970,
2004-04,114.077,
2004-05,112.367,
2004-06,114.373,
2004-07,116.849,
2004-08,119.084,
2004-09,120.861,
2004-10,118.957,
2004-11,116.043,
2004-12,119.305,
2005-01,120.214,
2005-02,121.582,
2005-03,128.976,
2005-04,126.492,
2005-05,124.003,
2005-06,122.016,
2005-07,126.342,
2005-08,131.883,
2005-09,133.247,
2005-10,137.698,
2005-11,131.362,
2005-12,128.208,
2006-01,129.410,
2006-02,138.310,
2006-03,141.913,
2006-04,144.377,
2006-05,145.936,
2006-06,144.296,
2006-07,141.295,
2006-08,149.974,
2006-09,152.751,
2006-10,153.806,
2006-11,155.201,
2006-12,156.957,
2007-01,163.417,
2007-02,166.920,
2007-03,175.322,
2007-04,178.036,
2007-05,181.765,
2007-06,188.241,
2007-07,189.935,
2007-08,190.039,
2007-09,190.081,
2007-10,199.798,
2007-11,207.695,
2007-12,197.857,
2008-01,207.987,
2008-02,212.792,
2008-03,222.986,
2008-04,221.825,
2008-05,224.499,
2008-06,223.819,
2008-07,228.990,
2008-08,228.743,
2008-09,234.067,
2008-10,234.097,
2008-11,234.483,
2008-12,227.194,
2009-01,230.016,
2009-02,230.014,
2009-03,245.417,
2009-04,244.797,
2009-05,244.670,
2009-06,243.336,
2009-07,242.220,
2009-08,246.146,
2009-09,249.990,
2009-10,257.934,
2009-11,263.055,
2009-12,274.118,
2010-01,270.354,
2010-02,277.212,
2010-03,277.537,
2010-04,286.561,
2010-05,288.537,
2010-06,291.756,
2010-07,300.607,
2010-08,309.410,
2010-09,306.319,
2010-10,313.099,
2010-11,318.152,
2010-12,314.729,
2011-01,330.147,
2011-02,322.881,
2011-03,327.765,
2011-04,326.952,
2011-05,344.217,
2011-06,335.977,
2011-07,351.730,
2011-08,359.948,
2011-09,364.670,
2011-10,350.967,
2011-11,347.633,
2011-12,314.437,
2012-01,341.865,
2012-02,338.809,
2012-03,333.013,
2012-04,333.848,
2012-05,343.255,
2012-06,342.026,
2012-07,338.312,
2012-08,335.222,
2012-09,342.783,
2012-10,335.549,
2012-11,343.120,
2012-12,337.769,
2013-01,356.377,
2013-02,359.277,
2013-03,365.540,
2013-04,369.366,
2013-05,373.720,
2013-06,385.907,
2013-07,373.998,
2013-08,368.911,
2013-09,370.398,
2013-10,371.583,
2013-11,372.236,
2013-12,366.797,
2014-01,370.234,
2014-02,376.567,
2014-03,389.142,
2014-04,383.077,
2014-05,398.695,
2014-06,395.429,
2014-07,391.046,
2014-08,399.692,
2014-09,402.574,
2014-10,394.369,
2014-11,398.341,
2014-12,387.390,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
