"",BBK01.OEAH82O,BBK01.OEAH82O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:18,
2002-01,0.080,
2002-04,0.080,
2002-07,0.080,
2002-10,0.083,
2003-01,0.095,
2003-04,0.090,
2003-07,0.085,
2003-10,0.091,
2004-01,0.092,
2004-04,0.099,
2004-07,0.091,
2004-10,0.100,
2005-01,0.097,
2005-04,0.104,
2005-07,0.099,
2005-10,0.095,
2006-01,0.091,
2006-04,0.092,
2006-07,0.081,
2006-10,0.079,
2007-01,0.080,
2007-04,0.077,
2007-07,0.076,
2007-10,0.073,
2008-01,0.066,
2008-04,0.057,
2008-07,0.057,
2008-10,0.047,
2009-01,0.046,
2009-04,0.045,
2009-07,0.055,
2009-10,0.055,
2010-01,0.059,
2010-04,0.061,
2010-07,0.062,
2010-10,0.062,
2011-01,0.076,
2011-04,0.084,
2011-07,0.064,
2011-10,0.065,
2012-01,0.063,
2012-04,0.067,
2012-07,0.071,
2012-10,0.068,
2013-01,0.068,
2013-04,0.069,
2013-07,0.050,
2013-10,0.059,
2014-01,0.052,
2014-04,0.060,
2014-07,0.060,
