"",BBFB1.Q.N.DE.S1.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:46,
1991-01,17.431,
1991-04,594.930,
1991-07,392.923,
1991-10,458.019,
1992-01,955.719,
1992-04,193.929,
1992-07,266.654,
1992-10,536.515,
1993-01,710.825,
1993-04,395.236,
1993-07,407.775,
1993-10,656.993,
1994-01,957.398,
1994-04,1088.116,
1994-07,1756.959,
1994-10,719.914,
1995-01,548.571,
1995-04,1205.741,
1995-07,-121.706,
1995-10,628.276,
1996-01,913.237,
1996-04,-185.834,
1996-07,67.546,
1996-10,585.842,
1997-01,-332.024,
1997-04,467.872,
1997-07,723.843,
1997-10,251.167,
1998-01,513.049,
1998-04,1101.735,
1998-07,960.933,
1998-10,685.915,
1999-01,2005.990,
1999-04,1213.464,
1999-07,1284.439,
1999-10,319.868,
2000-01,-410.513,
2000-04,-598.974,
2000-07,968.764,
2000-10,-276.055,
2001-01,-718.467,
2001-04,-72.581,
2001-07,327.733,
2001-10,203.164,
2002-01,265.141,
2002-04,264.538,
2002-07,140.369,
2002-10,-480.158,
2003-01,-225.580,
2003-04,-40.720,
2003-07,-542.446,
2003-10,996.016,
2004-01,599.386,
2004-04,-1132.556,
2004-07,-910.469,
2004-10,-541.111,
2005-01,-1968.412,
2005-04,-460.495,
2005-07,750.262,
2005-10,546.434,
2006-01,2574.473,
2006-04,2759.637,
2006-07,1785.967,
2006-10,989.397,
2007-01,1413.154,
2007-04,1633.337,
2007-07,2084.038,
2007-10,4514.775,
2008-01,303.131,
2008-04,1831.831,
2008-07,1804.015,
2008-10,-583.144,
2009-01,296.042,
2009-04,-486.699,
2009-07,-748.690,
2009-10,538.486,
2010-01,1820.261,
2010-04,-713.870,
2010-07,553.389,
2010-10,-3551.822,
2011-01,-1438.586,
2011-04,-66.937,
2011-07,478.004,
2011-10,-188.151,
2012-01,-138.376,
2012-04,-1452.032,
2012-07,-1943.613,
2012-10,-77.443,
2013-01,-574.284,
2013-04,-542.879,
2013-07,-630.365,
2013-10,-1158.084,
2014-01,102.783,Provisional value
2014-04,96.758,Provisional value
2014-07,1724.876,Provisional value
2014-10,-920.642,Provisional value
