"",BBDP1.M.DE.N.EPL.L.L1A00000000.I10.A,BBDP1.M.DE.N.EPL.L.L1A00000000.I10.A_FLAGS
"",Index of producer prices of agricultural products / Germany / Unadjusted figure / Total,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 13:37:44,
1968-01,75.2,
1968-02,74.1,
1968-03,74.4,
1968-04,73.0,
1968-05,73.3,
1968-06,72.4,
1968-07,72.8,
1968-08,74.5,
1968-09,75.2,
1968-10,76.5,
1968-11,79.4,
1968-12,81.1,
1969-01,79.7,
1969-02,78.8,
1969-03,79.7,
1969-04,79.2,
1969-05,77.3,
1969-06,77.6,
1969-07,77.5,
1969-08,78.4,
1969-09,79.3,
1969-10,79.5,
1969-11,80.6,
1969-12,82.1,
1970-01,79.1,
1970-02,79.2,
1970-03,79.7,
1970-04,77.3,
1970-05,76.0,
1970-06,74.3,
1970-07,75.5,
1970-08,73.8,
1970-09,72.6,
1970-10,71.2,
1970-11,71.2,
1970-12,71.6,
1971-01,72.8,
1971-02,72.5,
1971-03,73.0,
1971-04,73.0,
1971-05,71.9,
1971-06,73.5,
1971-07,73.1,
1971-08,74.0,
1971-09,76.2,
1971-10,78.0,
1971-11,79.3,
1971-12,81.7,
1972-01,80.3,
1972-02,81.3,
1972-03,81.3,
1972-04,81.1,
1972-05,82.0,
1972-06,82.3,
1972-07,82.4,
1972-08,83.8,
1972-09,85.8,
1972-10,86.7,
1972-11,87.1,
1972-12,89.1,
1973-01,88.6,
1973-02,88.9,
1973-03,90.2,
1973-04,90.8,
1973-05,91.5,
1973-06,90.3,
1973-07,88.7,
1973-08,87.8,
1973-09,89.7,
1973-10,90.8,
1973-11,92.3,
1973-12,94.0,
1974-01,90.7,
1974-02,89.6,
1974-03,88.9,
1974-04,85.8,
1974-05,85.0,
1974-06,83.6,
1974-07,82.2,
1974-08,82.0,
1974-09,86.0,
1974-10,87.3,
1974-11,89.2,
1974-12,89.2,
1975-01,88.1,
1975-02,89.2,
1975-03,91.0,
1975-04,92.4,
1975-05,93.0,
1975-06,93.4,
1975-07,95.0,
1975-08,96.8,
1975-09,99.5,
1975-10,100.9,
1975-11,103.9,
1975-12,106.7,
1976-01,108.4,
1976-02,109.8,
1976-03,111.7,
1976-04,110.5,
1976-05,106.5,
1976-06,104.4,
1976-07,103.9,
1976-08,109.4,
1976-09,108.9,
1976-10,108.3,
1976-11,108.3,
1976-12,109.1,
1977-01,108.6,
1977-02,109.4,
1977-03,109.1,
1977-04,108.4,
1977-05,107.3,
1977-06,107.4,
1977-07,108.3,
1977-08,108.3,
1977-09,108.6,
1977-10,107.5,
1977-11,108.0,
1977-12,110.3,
1978-01,108.0,
1978-02,107.7,
1978-03,106.5,
1978-04,103.6,
1978-05,103.2,
1978-06,100.8,
1978-07,102.1,
1978-08,101.4,
1978-09,102.5,
1978-10,101.6,
1978-11,102.5,
1978-12,103.5,
1979-01,103.4,
1979-02,104.0,
1979-03,104.9,
1979-04,104.3,
1979-05,103.7,
1979-06,103.6,
1979-07,104.3,
1979-08,104.4,
1979-09,106.6,
1979-10,106.7,
1979-11,108.3,
1979-12,109.8,
1980-01,109.3,
1980-02,109.3,
1980-03,108.9,
1980-04,106.7,
1980-05,105.8,
1980-06,105.1,
1980-07,104.8,
1980-08,103.4,
1980-09,105.1,
1980-10,105.9,
1980-11,108.4,
1980-12,110.3,
1981-01,109.7,
1981-02,109.8,
1981-03,111.0,
1981-04,110.8,
1981-05,110.5,
1981-06,110.3,
1981-07,111.9,
1981-08,112.0,
1981-09,116.6,
1981-10,117.9,
1981-11,120.2,
1981-12,121.3,
1982-01,121.0,
1982-02,119.1,
1982-03,119.2,
1982-04,118.6,
1982-05,119.6,
