"",BBK01.OEAD27N,BBK01.OEAD27N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:33,
2002-01,0.329,
2002-04,0.326,
2002-07,0.324,
2002-10,0.337,
2003-01,0.331,
2003-04,0.335,
2003-07,0.353,
2003-10,0.327,
2004-01,0.303,
2004-04,0.297,
2004-07,0.319,
2004-10,0.286,
2005-01,0.265,
2005-04,0.274,
2005-07,0.278,
2005-10,0.282,
2006-01,0.265,
2006-04,0.270,
2006-07,0.280,
2006-10,0.308,
2007-01,0.346,
2007-04,0.341,
2007-07,0.363,
2007-10,0.352,
2008-01,0.334,
2008-04,0.337,
2008-07,0.367,
2008-10,0.391,
2009-01,0.359,
2009-04,0.375,
2009-07,0.382,
2009-10,0.383,
2010-01,0.442,
2010-04,0.475,
2010-07,0.485,
2010-10,0.431,
2011-01,0.415,
2011-04,0.451,
2011-07,0.466,
2011-10,0.419,
2012-01,0.393,
2012-04,0.366,
2012-07,0.372,
2012-10,0.327,
2013-01,0.321,
2013-04,0.328,
2013-07,0.359,
2013-10,0.362,
2014-01,0.339,
2014-04,0.323,
2014-07,0.322,
