"",BBEX3.A.BWP.USD.CM.AA.A04,BBEX3.A.BWP.USD.CM.AA.A04_FLAGS
"",Exchange rates for the US dollar in Botswana / BWP 1 = USD ... (buying),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:22,
1977,1.1946,
1978,1.2090,
1979,1.2292,
1980,1.2906,
1981,1.1934,
1982,0.9745,comment
1983,0.9109,
1984,0.7704,
1985,0.5256,comment
1986,0.5389,
1987,0.6016,
1988,0.5466,
1989,0.4984,
1990,0.5375,
1991,0.4924,
1992,0.4676,
1993,0.4125,
1994,0.3729,
1995,0.3613,
1996,0.2999,
1997,0.2741,
1998,0.2372,
1999,0.2164,
2000,0.1957,
2001,0.1709,
2002,0.1607,
2003,0.2054,
2004,0.2151,
2005,0.1957,comment
2006,0.1718,
2007,0.1639,
2008,0.1483,
2009,0.1423,
2010,0.1474,
2011,0.1467,
2012,0.1318,
2013,0.1185,
2014,0.1114,
"","Source: Bank of Botswana, Gaborone.",
"",Methodology: Calculated on the basis of month-end rates.,
"","Comment on 1982: On 7 May 1982, Botswana's currency was devalued by 10% against the reference basket of currencies.",
"","Comment on 1985: On 9 January 1985, Botswana's currency was devalued by around 15% against the reference basket of currencies.",
"","Comment on 2005: On 30 May 2005, Botswana's currency was devalued by 12% against the reference basket of currencies. We recorded the following exchange rates (buying/selling rate).  27 May 2005: BWP 1 = USD 0,2084 / 0,2079  30 May 2005: BWP 1 = USD 0,1844 / 0,1825.  Calculated devaluation: 11.9% (middle rate).",
