"",BBK01.OEHB11N,BBK01.OEHB11N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:10,
2002-01,3.972,
2002-04,3.964,
2002-07,3.996,
2002-10,4.012,
2003-01,3.998,
2003-04,4.045,
2003-07,4.017,
2003-10,4.035,
2004-01,4.084,
2004-04,4.028,
2004-07,3.997,
2004-10,3.973,
2005-01,3.950,
2005-04,3.939,
2005-07,3.935,
2005-10,3.908,
2006-01,3.968,
2006-04,4.024,
2006-07,4.092,
2006-10,4.107,
2007-01,4.235,
2007-04,4.422,
2007-07,4.565,
2007-10,4.922,
2008-01,5.115,
2008-04,5.204,
2008-07,5.517,
2008-10,5.492,
2009-01,5.471,
2009-04,5.694,
2009-07,5.851,
2009-10,5.923,
2010-01,5.906,
2010-04,5.904,
2010-07,6.086,
2010-10,6.092,
2011-01,6.032,
2011-04,6.163,
2011-07,6.285,
2011-10,6.272,
2012-01,6.286,
2012-04,6.290,
2012-07,6.095,
2012-10,6.131,
2013-01,6.140,
2013-04,6.006,
2013-07,5.882,
2013-10,5.833,
2014-01,5.670,
2014-04,5.519,
2014-07,5.562,
