"",BBK01.OEAC35G,BBK01.OEAC35G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:20,
2002-01,2.278,
2002-04,2.584,
2002-07,2.615,
2002-10,2.604,
2003-01,2.511,
2003-04,2.348,
2003-07,2.350,
2003-10,2.524,
2004-01,2.503,
2004-04,2.526,
2004-07,2.512,
2004-10,2.404,
2005-01,2.389,
2005-04,2.415,
2005-07,2.482,
2005-10,2.466,
2006-01,2.547,
2006-04,2.521,
2006-07,2.479,
2006-10,2.351,
2007-01,2.254,
2007-04,2.289,
2007-07,2.316,
2007-10,2.398,
2008-01,2.434,
2008-04,2.412,
2008-07,2.497,
2008-10,2.529,
2009-01,2.549,
2009-04,2.437,
2009-07,2.524,
2009-10,2.511,
2010-01,3.278,
2010-04,2.471,
2010-07,2.350,
2010-10,2.322,
2011-01,2.460,
2011-04,2.502,
2011-07,2.472,
2011-10,2.563,
2012-01,2.548,
2012-04,2.493,
2012-07,2.618,
2012-10,2.980,
2013-01,3.017,
2013-04,3.358,
2013-07,3.070,
2013-10,3.276,
2014-01,3.290,
2014-04,3.298,
2014-07,3.304,
