"",BBEX3.M.NGN.USD.CA.AC.A01,BBEX3.M.NGN.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Nigeria * / USD 1 = NGN ... (middle),
unit,NGN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:43,
1995-02,81.59000,comment
1995-03,81.59000,
1995-04,79.60000,
1995-05,79.60000,
1995-06,79.60000,
1995-07,79.60000,
1995-08,79.60000,
1995-09,81.59000,
1995-10,81.59000,
1995-11,84.57500,
1995-12,84.57500,
1996-01,84.57500,
1996-02,82.08750,
1996-03,82.08750,
1996-04,82.08750,
1996-05,82.08750,
1996-06,80.59500,
1996-07,80.59500,
1996-08,79.60000,
1996-09,79.60000,
1996-10,79.60000,
1996-11,79.60000,
1996-12,79.60000,
1997-01,79.60000,
1997-02,79.60000,
1997-03,84.57500,
1997-04,84.57500,
1997-05,84.57500,
1997-06,84.57500,
1997-07,82.58500,
1997-08,81.59000,
1997-09,81.59000,
1997-10,81.59000,
1997-11,78.60500,
1997-12,74.62500,
1998-01,80.59500,
1998-02,83.58000,
1998-03,83.58000,
1998-04,84.08000,
1998-05,85.57000,
1998-06,85.57000,
1998-07,83.58000,
1998-08,83.58000,
1998-09,85.57000,
1998-10,85.57000,
1998-11,85.57000,
1998-12,85.57000,
1999-01,85.57000,
1999-02,85.57000,
1999-03,89.55000,
1999-04,89.55000,
1999-05,94.40560,
1999-06,94.40560,
1999-07,94.40560,
1999-08,94.40560,
1999-09,94.40560,
1999-10,94.85000,
1999-11,97.00000,
1999-12,97.95000,
2000-01,98.90000,
2000-02,100.20000,
2000-03,100.12000,
2000-04,99.87000,
2000-05,100.70000,
2000-06,101.70000,
2000-07,103.50000,
2000-08,102.05000,
2000-09,101.75000,
2000-10,102.00000,
2000-11,102.10000,
2000-12,109.55000,
2001-01,110.30000,
2001-02,110.10000,
2001-03,110.20000,
2001-04,113.70000,
2001-05,112.60000,
2001-06,111.50000,
2001-07,111.20000,
2001-08,111.10000,
2001-09,111.10000,
2001-10,111.10000,
2001-11,112.10000,
2001-12,112.95000,
2002-01,113.70000,
2002-02,115.20000,
2002-03,115.60000,
2002-04,115.80000,
2002-05,116.30000,
2002-06,119.60000,
2002-07,125.50000,
2002-08,125.50000,
2002-09,125.75000,
2002-10,126.25000,
2002-11,126.41000,
2002-12,126.40000,
2003-01,126.77000,
2003-02,126.52000,
2003-03,126.87000,
2003-04,127.10000,
2003-05,127.32000,
2003-06,127.42000,
2003-07,127.23000,
2003-08,127.80000,
2003-09,127.86000,
2003-10,132.02000,
2003-11,137.70000,
2003-12,136.50000,
2004-01,134.80000,
2004-02,134.50000,
2004-03,133.20000,
2004-04,132.80000,
2004-05,132.25000,
2004-06,132.25000,
2004-07,132.32000,
2004-08,132.33000,
2004-09,132.37000,
2004-10,132.40000,
2004-11,132.38000,
2004-12,132.35000,
2005-01,132.36000,
2005-02,132.35000,
2005-03,132.35000,
2005-04,132.33000,
2005-05,132.33000,
2005-06,132.37000,
2005-07,132.36000,
2005-08,129.07000,
2005-09,129.00000,
2005-10,129.03000,
2005-11,128.51000,
2005-12,128.50000,
2006-01,128.50000,
2006-02,127.50000,
2006-03,126.75000,
2006-04,126.68000,
2006-05,126.69000,
2006-06,126.67000,
2006-07,126.59000,
2006-08,126.52000,
2006-09,126.50000,
2006-10,126.52000,
2006-11,126.50000,
2006-12,126.50000,
2007-01,126.51000,
2007-02,126.51000,
2007-03,126.29000,
2007-04,126.10000,
2007-05,125.73000,
2007-06,125.55000,
2007-07,125.36000,
2007-08,124.45000,
2007-09,123.90000,
2007-10,121.38000,
2007-11,117.18000,
2007-12,116.30000,
2008-01,116.31000,
2008-02,116.28000,
2008-03,116.23000,
2008-04,116.20000,
2008-05,116.16000,
2008-06,116.13000,
2008-07,116.09000,
2008-08,116.06000,
2008-09,116.06000,
2008-10,116.07000,
2008-11,116.12000,
2008-12,130.75000,
2009-01,144.01000,
2009-02,145.35000,
2009-03,145.20000,
2009-04,145.40000,
2009-05,146.20000,
2009-06,146.25000,
2009-07,149.25000,
2009-08,150.41000,
2009-09,146.82000,
2009-10,148.64000,
2009-11,147.81000,
2009-12,147.60000,
2010-01,148.33000,
2010-02,148.11000,
2010-03,147.80000,
2010-04,148.11000,
2010-05,148.28000,
2010-06,148.00000,
2010-07,148.10000,
2010-08,148.79000,
2010-09,149.35000,
2010-10,148.00000,
2010-11,148.25000,
2010-12,148.67000,
2011-01,149.85000,
2011-02,149.95000,
2011-03,151.02000,
2011-04,152.42000,
2011-05,153.09000,
2011-06,151.29000,
2011-07,149.96000,
2011-08,151.90000,
2011-09,154.10000,
2011-10,149.75000,
2011-11,155.81000,
2011-12,156.20000,
2012-01,156.55000,
2012-02,155.40000,
2012-03,155.51000,
2012-04,155.20000,
2012-05,155.25000,
2012-06,155.44000,
2012-07,155.34000,
2012-08,155.30000,
2012-09,155.28000,
2012-10,155.24000,
2012-11,155.26000,
2012-12,155.27000,
2013-01,155.24000,
2013-02,155.25000,
2013-03,155.25000,
2013-04,155.25000,
2013-05,155.24000,
2013-06,155.25000,
2013-07,155.26000,
2013-08,155.26000,
2013-09,155.25000,
2013-10,155.30000,
2013-11,155.22000,
2013-12,155.20000,
2014-01,155.25000,
2014-02,155.25000,
2014-03,155.24000,
2014-04,155.23000,
2014-05,155.23000,
2014-06,155.23000,
2014-07,155.23000,
2014-08,155.23000,
2014-09,155.25000,
2014-10,155.26000,
2014-11,164.50000,
2014-12,167.50000,
2015-01,167.50000,
"","General: * Free market rates until the end of 1998. On 14 January 1995, the introduction of a legal free foreign exchange market was announced. Use of exchange rates: official exchange rate: for certain government transactions. Free market rate: for all other foreign exchange transactions. On 1 January 1999, the multiple exchange rate system was unified onthe basis of the free market rate.",
"","Source: Calculated on the basis of buying and selling rates of the Central Bank of Nigeria, Lagos / Abuja.",
"","Comment on 1995-02: On 14 January 1995, the introduction of a legal free foreign exchange market was announced; however, the central bank only began to report exchange rates on 23 February 1995: official exchange rate: USD 1 = NGN 21.7761 / 21.9960, free market rate: USD 1 = NGN 81.1800 / 82.0000.",
