"",BBK01.OEAD28N,BBK01.OEAD28N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:34,
2002-01,0.578,
2002-04,0.588,
2002-07,0.590,
2002-10,0.526,
2003-01,0.495,
2003-04,0.478,
2003-07,0.472,
2003-10,0.508,
2004-01,0.489,
2004-04,0.486,
2004-07,0.507,
2004-10,0.506,
2005-01,0.494,
2005-04,0.506,
2005-07,0.554,
2005-10,0.543,
2006-01,0.572,
2006-04,0.556,
2006-07,0.555,
2006-10,0.571,
2007-01,0.532,
2007-04,0.561,
2007-07,0.600,
2007-10,0.582,
2008-01,0.654,
2008-04,0.609,
2008-07,0.675,
2008-10,0.523,
2009-01,0.478,
2009-04,0.494,
2009-07,0.530,
2009-10,0.560,
2010-01,0.523,
2010-04,0.533,
2010-07,0.569,
2010-10,0.540,
2011-01,0.531,
2011-04,0.532,
2011-07,0.539,
2011-10,0.566,
2012-01,0.548,
2012-04,0.560,
2012-07,0.588,
2012-10,0.574,
2013-01,0.592,
2013-04,0.524,
2013-07,0.532,
2013-10,0.540,
2014-01,0.541,
2014-04,0.553,
2014-07,0.530,
