"",BBNZ1.Q.DE.S.H.0939.A,BBNZ1.Q.DE.S.H.0939.A_FLAGS
"",Germany / National accounts / Unit labor costs on an hourly basis / Financial and insurance activities / Chain-linked index / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:38:13,
1991-01,50.55,
1991-04,51.05,
1991-07,52.36,
1991-10,52.70,
1992-01,54.11,
1992-04,57.24,
1992-07,57.01,
1992-10,57.60,
1993-01,56.83,
1993-04,55.98,
1993-07,56.30,
1993-10,57.39,
1994-01,57.83,
1994-04,58.22,
1994-07,58.68,
1994-10,60.50,
1995-01,61.68,
1995-04,63.82,
1995-07,62.95,
1995-10,62.38,
1996-01,61.40,
1996-04,60.65,
1996-07,62.87,
1996-10,61.55,
1997-01,61.74,
1997-04,61.65,
1997-07,62.17,
1997-10,61.86,
1998-01,63.02,
1998-04,63.46,
1998-07,62.85,
1998-10,61.37,
1999-01,58.24,
1999-04,58.87,
1999-07,58.16,
1999-10,61.25,
2000-01,64.80,
2000-04,69.44,
2000-07,70.20,
2000-10,68.98,
2001-01,65.10,
2001-04,64.24,
2001-07,64.43,
2001-10,67.19,
2002-01,68.31,
2002-04,68.63,
2002-07,72.93,
2002-10,76.39,
2003-01,80.04,
2003-04,84.34,
2003-07,87.67,
2003-10,88.24,
2004-01,91.29,
2004-04,93.47,
2004-07,94.64,
2004-10,95.02,
2005-01,95.25,
2005-04,95.91,
2005-07,96.20,
2005-10,97.99,
2006-01,102.15,
2006-04,97.77,
2006-07,89.23,
2006-10,98.13,
2007-01,94.67,
2007-04,95.08,
2007-07,92.67,
2007-10,95.99,
2008-01,96.05,
2008-04,97.92,
2008-07,96.58,
2008-10,100.48,
2009-01,97.20,
2009-04,105.43,
2009-07,105.64,
2009-10,107.13,
2010-01,99.85,
2010-04,97.94,
2010-07,100.52,
2010-10,101.71,
2011-01,101.57,
2011-04,101.89,
2011-07,101.83,
2011-10,102.64,
2012-01,102.95,
2012-04,101.11,
2012-07,100.97,
2012-10,101.78,
2013-01,105.10,
2013-04,107.35,
2013-07,104.98,
2013-10,106.55,
2014-01,106.17,
2014-04,111.16,
2014-07,108.86,
2014-10,109.06,
