"",BBFB1.M.N.DE.W1.S1.S1.T.C.D4P._T.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D4P._T.F._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:08,
1991-01,4994.671,
1991-02,4918.607,
1991-03,4885.396,
1991-04,4909.013,
1991-05,5048.561,
1991-06,4941.842,
1991-07,5057.428,
1991-08,4984.752,
1991-09,5129.864,
1991-10,4991.989,
1991-11,4915.925,
1991-12,5377.546,
1992-01,5121.660,
1992-02,4877.643,
1992-03,5154.959,
1992-04,5132.839,
1992-05,5116.688,
1992-06,5218.913,
1992-07,5194.195,
1992-08,5355.993,
1992-09,5129.331,
1992-10,5113.753,
1992-11,4978.595,
1992-12,5428.129,
1993-01,5456.041,
1993-02,5154.014,
1993-03,5502.903,
1993-04,5539.583,
1993-05,4970.006,
1993-06,5163.412,
1993-07,5211.705,
1993-08,4977.420,
1993-09,5018.996,
1993-10,4845.628,
1993-11,4599.498,
1993-12,5252.322,
1994-01,4886.677,
1994-02,4437.329,
1994-03,5177.848,
1994-04,4911.120,
1994-05,4555.230,
1994-06,4690.560,
1994-07,4804.328,
1994-08,4619.220,
1994-09,4858.134,
1994-10,4500.755,
1994-11,4541.150,
1994-12,5182.268,
1995-01,4939.873,
1995-02,4855.562,
1995-03,5366.547,
1995-04,4943.125,
1995-05,4713.119,
1995-06,5228.979,
1995-07,5021.543,
1995-08,4573.124,
1995-09,4899.736,
1995-10,4624.899,
1995-11,4346.861,
1995-12,5412.967,
1996-01,4919.231,
1996-02,4726.508,
1996-03,5511.961,
1996-04,5082.825,
1996-05,4758.204,
1996-06,5109.038,
1996-07,5477.032,
1996-08,4988.361,
1996-09,5236.523,
1996-10,5065.922,
1996-11,5108.556,
1996-12,6212.777,
1997-01,5491.319,
1997-02,5565.473,
1997-03,5861.403,
1997-04,5695.031,
1997-05,5538.056,
1997-06,6094.816,
1997-07,5736.690,
1997-08,5547.457,
1997-09,5663.190,
1997-10,5893.992,
1997-11,5680.648,
1997-12,7492.590,
1998-01,5642.819,
1998-02,5178.903,
1998-03,6245.320,
1998-04,5836.743,
1998-05,5634.425,
1998-06,6766.404,
1998-07,6261.046,
1998-08,5678.193,
1998-09,6019.588,
1998-10,4975.404,
1998-11,5619.426,
1998-12,8339.044,
1999-01,5455.167,
1999-02,5808.238,
1999-03,6539.793,
1999-04,7656.967,
1999-05,6534.037,
1999-06,7285.975,
1999-07,6761.264,
1999-08,6327.159,
1999-09,6656.989,
1999-10,6821.352,
1999-11,6907.851,
1999-12,9263.719,
2000-01,7326.951,
2000-02,7269.492,
2000-03,10048.299,
2000-04,8536.180,
2000-05,9060.668,
2000-06,9360.050,
2000-07,9097.482,
2000-08,8364.744,
2000-09,8903.356,
2000-10,9270.824,
2000-11,8471.405,
2000-12,14884.309,
2001-01,8062.241,
2001-02,8038.397,
2001-03,8572.047,
2001-04,8349.735,
2001-05,8308.707,
2001-06,8651.295,
2001-07,7549.894,
2001-08,7399.961,
2001-09,7541.407,
2001-10,7447.299,
2001-11,7405.632,
2001-12,7593.519,
2002-01,7651.885,
2002-02,7880.905,
2002-03,8335.128,
2002-04,7952.998,
2002-05,8316.456,
2002-06,8710.018,
2002-07,7980.252,
2002-08,7742.012,
2002-09,8402.798,
2002-10,7613.386,
2002-11,7639.135,
2002-12,8186.226,
2003-01,8175.745,
2003-02,7739.824,
2003-03,8457.535,
2003-04,8325.988,
2003-05,8316.616,
2003-06,8714.263,
2003-07,8432.641,
2003-08,8086.303,
2003-09,8452.090,
2003-10,8072.866,
2003-11,8272.738,
2003-12,9211.974,
2004-01,10292.053,
2004-02,10189.270,
2004-03,10351.511,
2004-04,10666.747,
2004-05,10545.833,
2004-06,11619.160,
2004-07,10630.191,
2004-08,10555.854,
2004-09,11466.418,
2004-10,10758.848,
2004-11,11805.751,
2004-12,11931.001,
2005-01,12128.374,
2005-02,11921.912,
2005-03,12614.073,
2005-04,13023.792,
2005-05,12743.993,
2005-06,13155.253,
2005-07,12660.614,
2005-08,12543.895,
2005-09,13532.037,
2005-10,13251.303,
2005-11,13922.480,
2005-12,14162.933,
2006-01,14786.721,
2006-02,14704.293,
2006-03,15443.177,
2006-04,15913.681,
2006-05,16561.995,
2006-06,16865.244,
2006-07,15904.930,
2006-08,16166.758,
2006-09,16767.608,
2006-10,16691.155,
2006-11,17123.025,
2006-12,18270.607,
2007-01,19579.241,
2007-02,19616.018,
2007-03,20405.097,
2007-04,20580.806,
2007-05,21371.837,
2007-06,20103.367,
2007-07,19386.893,
2007-08,19085.881,
2007-09,18699.725,
2007-10,18669.011,
2007-11,18737.750,
2007-12,19087.983,
2008-01,17411.795,
2008-02,16665.141,
2008-03,16715.470,
2008-04,16500.904,
2008-05,16992.417,
2008-06,15369.311,
2008-07,14728.946,
2008-08,14318.270,
2008-09,14518.539,
2008-10,13699.861,
2008-11,14028.311,
2008-12,14007.117,
2009-01,14892.193,
2009-02,14073.469,
2009-03,14221.993,
2009-04,14543.918,
2009-05,14603.196,
2009-06,14182.666,
2009-07,14102.654,
2009-08,13578.073,
2009-09,13699.178,
2009-10,13912.771,
2009-11,13917.318,
2009-12,14588.226,
2010-01,14578.560,
2010-02,14466.177,
2010-03,15027.460,
2010-04,15329.044,
2010-05,15804.061,
2010-06,16160.532,
2010-07,15369.536,
2010-08,15053.902,
2010-09,15463.211,
2010-10,15486.180,
2010-11,16004.003,
2010-12,17997.647,
2011-01,16104.755,
2011-02,16198.154,
2011-03,16615.067,
2011-04,16742.297,
2011-05,17962.515,
2011-06,17473.628,
2011-07,16890.068,
2011-08,16619.654,
2011-09,16936.806,
2011-10,16925.000,
2011-11,16736.821,
2011-12,17433.190,
2012-01,16743.853,
2012-02,16169.604,
