"",BBK01.OEYI05L,BBK01.OEYI05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:03,
2002-01,89.517,
2002-04,88.127,
2002-07,87.146,
2002-10,86.901,
2003-01,86.788,
2003-04,87.095,
2003-07,88.073,
2003-10,86.444,
2004-01,85.833,
2004-04,87.279,
2004-07,88.110,
2004-10,88.286,
2005-01,88.677,
2005-04,88.023,
2005-07,88.714,
2005-10,86.660,
2006-01,86.831,
2006-04,85.859,
2006-07,84.883,
2006-10,83.261,
2007-01,81.114,
2007-04,79.403,
2007-07,77.178,
2007-10,74.688,
2008-01,73.802,
2008-04,73.188,
2008-07,81.156,
2008-10,80.498,
2009-01,80.951,
2009-04,76.673,
2009-07,67.168,
2009-10,65.872,
2010-01,64.447,
2010-04,63.851,
2010-07,63.752,
2010-10,63.206,
2011-01,59.621,
2011-04,58.663,
2011-07,57.925,
2011-10,57.184,
2012-01,55.838,
2012-04,54.909,
2012-07,53.999,
2012-10,52.989,
2013-01,51.466,
2013-04,50.517,
2013-07,51.309,
2013-10,51.097,
2014-01,49.245,
2014-04,48.658,
2014-07,48.322,
