"",BBK01.OECI05S,BBK01.OECI05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:50,
2002-01,0.006,
2002-04,0.006,
2002-07,0.004,
2002-10,0.002,
2003-01,0.003,
2003-04,0.003,
2003-07,0.005,
2003-10,0.005,
2004-01,0.004,
2004-04,0.004,
2004-07,0.004,
2004-10,0.004,
2005-01,0.084,
2005-04,0.083,
2005-07,0.080,
2005-10,0.077,
2006-01,0.073,
2006-04,0.072,
2006-07,0.072,
2006-10,0.071,
2007-01,0.067,
2007-04,0.067,
2007-07,0.066,
2007-10,0.064,
2008-01,0.063,
2008-04,0.059,
2008-07,0.056,
2008-10,0.062,
2009-01,0.062,
2009-04,0.062,
2009-07,0.069,
2009-10,0.077,
2010-01,0.079,
2010-04,0.078,
2010-07,0.076,
2010-10,0.073,
2011-01,0.073,
2011-04,0.059,
2011-07,0.055,
2011-10,0.052,
2012-01,0.050,
2012-04,0.051,
2012-07,0.051,
2012-10,0.050,
2013-01,0.043,
2013-04,0.043,
2013-07,0.043,
2013-10,0.046,
2014-01,0.042,
2014-04,0.039,
2014-07,0.036,
