"",BBFB1.M.N.DE.W1.S12T.S1.T.L.FA._Z.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12T.S1.T.L.FA._Z.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Monetary financial institutions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:37,
1991-01,364.068,
1991-02,3302.696,
1991-03,6343.722,
1991-04,-2773.806,
1991-05,-2509.263,
1991-06,4477.749,
1991-07,583.967,
1991-08,4064.657,
1991-09,-2036.510,
1991-10,4285.957,
1991-11,1359.706,
1991-12,225.351,
1992-01,2530.810,
1992-02,4230.439,
1992-03,4846.422,
1992-04,2596.856,
1992-05,2115.326,
1992-06,3086.736,
1992-07,-674.197,
1992-08,5240.458,
1992-09,19665.704,
1992-10,111.134,
1992-11,4998.875,
1992-12,9594.999,
1993-01,1589.709,
1993-02,10702.628,
1993-03,4059.222,
1993-04,-865.209,
1993-05,4572.839,
1993-06,11056.096,
1993-07,8202.356,
1993-08,7080.940,
1993-09,1787.047,
1993-10,8578.659,
1993-11,5564.656,
1993-12,1954.256,
1994-01,9983.451,
1994-02,-249.157,
1994-03,2231.572,
1994-04,480.879,
1994-05,5888.995,
1994-06,2997.437,
1994-07,7241.240,
1994-08,7919.187,
1994-09,3238.649,
1994-10,6704.866,
1994-11,3679.138,
1994-12,17386.841,
1995-01,2269.078,
1995-02,15308.809,
1995-03,2943.206,
1995-04,7527.559,
1995-05,10166.147,
1995-06,10895.393,
1995-07,1430.429,
1995-08,12176.543,
1995-09,8381.480,
1995-10,5298.284,
1995-11,1180.566,
1995-12,4394.038,
1996-01,9437.381,
1996-02,11154.807,
1996-03,5180.098,
1996-04,5981.120,
1996-05,6765.586,
1996-06,5862.886,
1996-07,-4534.622,
1996-08,569.486,
1996-09,2015.474,
1996-10,1006.598,
1996-11,19542.361,
1996-12,6775.433,
1997-01,16905.340,
1997-02,16340.159,
1997-03,23593.991,
1997-04,7228.917,
1997-05,6049.118,
1997-06,17499.458,
1997-07,6041.072,
1997-08,9416.716,
1997-09,-1043.299,
1997-10,27869.490,
1997-11,10497.484,
1997-12,-3283.736,
1998-01,17439.780,
1998-02,18714.435,
1998-03,31477.450,
1998-04,11540.668,
1998-05,30671.078,
1998-06,13460.764,
1998-07,-2521.614,
1998-08,15327.021,
1998-09,9511.892,
1998-10,26379.138,
1998-11,39281.217,
1998-12,-12157.691,
1999-01,72440.949,
1999-02,-13849.869,
1999-03,18943.829,
1999-04,25613.883,
1999-05,8398.119,
1999-06,7624.944,
1999-07,1968.787,
1999-08,19790.543,
1999-09,27261.392,
1999-10,12452.055,
1999-11,42651.099,
1999-12,-18665.710,
2000-01,24707.494,
2000-02,25579.600,
2000-03,36543.571,
2000-04,31565.838,
2000-05,36088.663,
2000-06,-32958.706,
2000-07,-8193.292,
2000-08,14785.456,
2000-09,11569.971,
2000-10,6359.951,
2000-11,21811.684,
2000-12,18108.231,
2001-01,46924.317,
2001-02,28298.047,
2001-03,69779.260,
2001-04,16686.108,
2001-05,11978.885,
2001-06,-36813.376,
2001-07,-25559.849,
2001-08,26163.951,
2001-09,-1509.556,
2001-10,10597.976,
2001-11,10998.428,
2001-12,-39695.340,
2002-01,23372.633,
2002-02,-19091.589,
2002-03,22269.519,
2002-04,43418.462,
2002-05,22191.943,
2002-06,-32625.101,
2002-07,18343.775,
2002-08,12779.738,
2002-09,27201.354,
2002-10,4943.505,
2002-11,24354.113,
2002-12,-49170.208,
2003-01,17205.995,
2003-02,18695.203,
2003-03,22436.626,
2003-04,19479.734,
2003-05,9499.738,
2003-06,-15608.669,
2003-07,4039.919,
2003-08,-37745.736,
2003-09,33374.627,
2003-10,-2693.686,
2003-11,694.256,
2003-12,-5032.539,
2004-01,25121.897,
2004-02,17344.951,
2004-03,41713.628,
2004-04,13967.708,
2004-05,-20070.917,
2004-06,-25954.046,
2004-07,3277.758,
2004-08,13321.565,
2004-09,40556.240,
2004-10,-266.455,
2004-11,37892.991,
