"",BBK01.OEHB13K,BBK01.OEHB13K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:41,
2002-01,7.712,
2002-04,7.790,
2002-07,7.830,
2002-10,7.801,
2003-01,7.345,
2003-04,7.314,
2003-07,7.287,
2003-10,7.127,
2004-01,7.076,
2004-04,7.105,
2004-07,6.845,
2004-10,6.805,
2005-01,6.927,
2005-04,6.681,
2005-07,6.815,
2005-10,6.903,
2006-01,6.972,
2006-04,6.853,
2006-07,6.768,
2006-10,6.780,
2007-01,6.648,
2007-04,6.656,
2007-07,7.099,
2007-10,6.809,
2008-01,6.776,
2008-04,6.707,
2008-07,6.703,
2008-10,6.781,
2009-01,6.801,
2009-04,6.836,
2009-07,7.180,
2009-10,7.359,
2010-01,7.485,
2010-04,7.638,
2010-07,7.766,
2010-10,7.917,
2011-01,7.933,
2011-04,8.056,
2011-07,8.083,
2011-10,8.141,
2012-01,8.281,
2012-04,8.408,
2012-07,8.484,
2012-10,8.548,
2013-01,8.591,
2013-04,8.652,
2013-07,8.281,
2013-10,8.335,
2014-01,8.302,
2014-04,8.316,
2014-07,8.390,
