"",BBK01.OEAD20P,BBK01.OEAD20P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:03,
2002-01,0.068,
2002-04,0.071,
2002-07,0.059,
2002-10,0.058,
2003-01,0.045,
2003-04,0.053,
2003-07,0.037,
2003-10,0.039,
2004-01,0.033,
2004-04,0.031,
2004-07,0.036,
2004-10,0.040,
2005-01,0.031,
2005-04,0.034,
2005-07,0.035,
2005-10,0.036,
2006-01,0.038,
2006-04,0.039,
2006-07,0.034,
2006-10,0.044,
2007-01,0.042,
2007-04,0.041,
2007-07,0.041,
2007-10,0.051,
2008-01,0.039,
2008-04,0.039,
2008-07,0.037,
2008-10,0.038,
2009-01,0.042,
2009-04,0.043,
2009-07,0.031,
2009-10,0.035,
2010-01,0.028,
2010-04,0.028,
2010-07,0.031,
2010-10,0.032,
2011-01,0.036,
2011-04,0.040,
2011-07,0.037,
2011-10,0.032,
2012-01,0.038,
2012-04,0.042,
2012-07,0.032,
2012-10,0.027,
2013-01,0.032,
2013-04,0.032,
2013-07,0.046,
2013-10,0.050,
2014-01,0.046,
2014-04,0.039,
2014-07,0.051,
