"",BBK01.OEHM01J,BBK01.OEHM01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:24,
2002-01,0.054,
2002-04,0.081,
2002-07,0.051,
2002-10,0.033,
2003-01,0.100,
2003-04,0.135,
2003-07,0.122,
2003-10,0.049,
2004-01,0.093,
2004-04,0.208,
2004-07,0.162,
2004-10,0.099,
2005-01,0.037,
2005-04,0.135,
2005-07,0.100,
2005-10,0.059,
2006-01,0.071,
2006-04,0.135,
2006-07,0.081,
2006-10,0.139,
2007-01,0.113,
2007-04,0.239,
2007-07,0.171,
2007-10,0.124,
2008-01,0.154,
2008-04,0.413,
2008-07,0.210,
2008-10,0.125,
2009-01,0.112,
2009-04,0.146,
2009-07,0.104,
2009-10,0.088,
2010-01,0.067,
2010-04,0.089,
2010-07,0.079,
2010-10,0.078,
2011-01,0.091,
2011-04,0.065,
2011-07,0.068,
2011-10,0.082,
2012-01,0.100,
2012-04,0.090,
2012-07,0.106,
2012-10,0.087,
2013-01,0.094,
2013-04,0.076,
2013-07,0.076,
2013-10,0.067,
2014-01,0.063,
2014-04,0.062,
2014-07,0.064,
