"",BBK01.CEH03Q,BBK01.CEH03Q_FLAGS
"",External financing debtor: Monetary financial institutions                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:50,
1991-01,24.3,
1991-04,30.4,
1991-07,38.7,
1991-10,87.6,
1992-01,25.6,
1992-04,43.9,
1992-07,80.3,
1992-10,55.2,
1993-01,43.1,
1993-04,57.8,
1993-07,53.0,
1993-10,133.9,
1994-01,16.7,
1994-04,33.1,
1994-07,32.3,
1994-10,101.8,
1995-01,33.4,
1995-04,64.0,
1995-07,70.1,
1995-10,106.6,
1996-01,58.2,
1996-04,51.1,
1996-07,40.3,
1996-10,120.5,
1997-01,79.0,
1997-04,62.6,
1997-07,59.9,
1997-10,103.0,
1998-01,93.2,
1998-04,103.4,
1998-07,61.6,
1998-10,136.6,
1999-01,121.8,
1999-04,68.7,
1999-07,82.2,
1999-10,105.2,
2000-01,113.6,
2000-04,31.4,
2000-07,63.8,
2000-10,84.4,
2001-01,176.2,
2001-04,-20.5,
2001-07,25.6,
2001-10,2.0,
2002-01,30.0,
2002-04,41.1,
2002-07,67.6,
2002-10,34.2,
2003-01,72.4,
2003-04,28.2,
2003-07,-3.7,
2003-10,34.3,
2004-01,81.2,
2004-04,-11.6,
2004-07,75.2,
2004-10,40.5,
2005-01,85.7,
2005-04,57.8,
2005-07,36.4,
2005-10,-25.9,
2006-01,109.7,
2006-04,43.2,
2006-07,60.8,
2006-10,56.7,
2007-01,84.4,
2007-04,110.1,
2007-07,124.8,
2007-10,64.3,
2008-01,131.5,
2008-04,37.5,
2008-07,77.5,
2008-10,-29.9,
2009-01,-5.9,
2009-04,-38.5,
2009-07,-79.1,
2009-10,-63.9,
2010-01,2.0,
2010-04,91.9,
2010-07,-85.6,
2010-10,-57.4,
2011-01,-78.7,
2011-04,3.5,
2011-07,110.1,
2011-10,-47.3,
2012-01,182.6,
2012-04,78.6,
2012-07,-5.1,
2012-10,-125.0,
2013-01,-65.6,
2013-04,-35.9,
2013-07,-119.6,
2013-10,-65.0,
2014-01,10.9,
