"",BBK01.OEAA27G,BBK01.OEAA27G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:30,
2002-01,8.602,
2002-04,8.740,
2002-07,8.434,
2002-10,8.362,
2003-01,8.022,
2003-04,7.887,
2003-07,7.840,
2003-10,7.662,
2004-01,7.386,
2004-04,7.388,
2004-07,7.296,
2004-10,7.263,
2005-01,6.877,
2005-04,6.730,
2005-07,6.369,
2005-10,6.561,
2006-01,6.508,
2006-04,6.547,
2006-07,6.442,
2006-10,6.197,
2007-01,6.042,
2007-04,5.982,
2007-07,5.838,
2007-10,5.896,
2008-01,5.852,
2008-04,5.986,
2008-07,5.870,
2008-10,6.002,
2009-01,6.164,
2009-04,6.135,
2009-07,6.004,
2009-10,5.795,
2010-01,5.942,
2010-04,5.991,
2010-07,5.772,
2010-10,5.541,
2011-01,5.530,
2011-04,5.507,
2011-07,5.375,
2011-10,5.183,
2012-01,5.212,
2012-04,5.256,
2012-07,5.173,
2012-10,5.050,
2013-01,5.070,
2013-04,4.997,
2013-07,4.840,
2013-10,4.455,
2014-01,4.471,
2014-04,4.474,
2014-07,4.348,
