"",BBFB1.Q.N.DE.E14000.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:22,
1991-01,7200.006,
1991-04,7005.155,
1991-07,6720.027,
1991-10,7270.175,
1992-01,6911.259,
1992-04,6522.557,
1992-07,6312.559,
1992-10,6727.610,
1993-01,6011.765,
1993-04,5997.988,
1993-07,5957.371,
1993-10,6714.635,
1994-01,6373.775,
1994-04,6653.316,
1994-07,6999.966,
1994-10,7689.354,
1995-01,7186.105,
1995-04,7132.987,
1995-07,7142.623,
1995-10,7975.346,
1996-01,7347.460,
1996-04,7683.972,
1996-07,7850.490,
1996-10,9491.002,
1997-01,8438.967,
1997-04,8646.190,
1997-07,8969.545,
1997-10,9570.477,
1998-01,8974.887,
1998-04,8664.639,
1998-07,8770.128,
1998-10,8803.140,
1999-01,9383.623,
1999-04,8455.231,
1999-07,9247.846,
1999-10,11033.383,
2000-01,11050.222,
2000-04,11407.899,
2000-07,12439.912,
2000-10,14160.560,
2001-01,12969.618,
2001-04,12805.828,
2001-07,12722.867,
2001-10,13127.473,
2002-01,11681.612,
2002-04,12921.638,
2002-07,12213.710,
2002-10,13765.724,
2003-01,13380.611,
2003-04,13331.161,
2003-07,12516.479,
2003-10,14568.741,
2004-01,13288.216,
2004-04,14465.141,
2004-07,15032.760,
2004-10,16603.806,
2005-01,15513.327,
2005-04,17210.714,
2005-07,17489.452,
2005-10,19544.895,
2006-01,21183.622,
2006-04,21901.632,
2006-07,21808.269,
2006-10,21034.158,
2007-01,21704.420,
2007-04,21974.631,
2007-07,21862.395,
2007-10,24225.183,
2008-01,25238.614,
2008-04,26010.356,
2008-07,27710.485,
2008-10,25179.616,
2009-01,21020.802,
2009-04,19299.291,
2009-07,20154.697,
2009-10,20015.163,
2010-01,21789.842,
2010-04,24749.340,
2010-07,23243.395,
2010-10,25437.552,
2011-01,27951.270,
2011-04,27948.526,
2011-07,30764.111,
2011-10,31526.678,
2012-01,32792.664,
2012-04,32302.190,
2012-07,31545.738,
2012-10,32734.186,
2013-01,30824.887,
2013-04,30726.473,
2013-07,32418.323,
2013-10,32032.134,
2014-01,32938.520,Provisional value
2014-04,31601.442,Provisional value
2014-07,30499.321,Provisional value
