"",BBFN1.M.DE.N.1.L.TW.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TW.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"","Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / China, Taiwan",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:23,
1982-09,0.002,
1982-10,0.002,
1982-11,0.002,
1982-12,0.002,
1983-01,0.002,
1983-02,0.002,
1983-03,0.002,
1983-04,0.002,
1983-05,0.003,
1983-06,0.003,
1983-07,0.005,
1983-08,0.005,
1983-09,0.005,
1983-10,0.010,
1983-11,0.010,
1983-12,0.010,
1984-01,0.010,
1984-02,0.010,
1984-03,0.010,
1984-04,0.010,
1984-05,0.010,
1984-06,0.010,
1984-07,0.010,
1984-08,0.010,
1984-09,0.010,
1984-10,0.010,
1984-11,0.010,
1984-12,0.012,
1985-01,0.012,
1985-02,0.012,
1985-03,0.012,
1985-04,0.012,
1985-05,0.012,
1985-06,0.012,
1985-07,0.017,
1985-08,0.025,
1985-09,0.025,
1985-10,0.025,
1985-11,0.025,
1985-12,0.025,
1986-01,0.025,
1986-02,0.025,
1986-03,0.025,
1986-04,0.026,
1986-05,0.026,
1986-06,0.026,
1986-07,0.024,
1986-08,0.024,
1986-09,0.024,
1986-10,0.024,
1986-11,0.024,
1986-12,0.024,
1987-01,0.018,
1987-02,0.018,
1987-03,0.018,
1987-04,0.018,
1987-05,0.018,
1987-06,0.018,
1987-07,0.018,
1987-08,0.018,
1987-09,0.029,
1987-10,0.029,
1987-11,0.029,
1987-12,0.030,
1988-01,0.030,
1988-02,0.030,
1988-03,0.029,
1988-04,0.027,
1988-05,0.027,
1988-06,0.027,
1988-07,0.027,
1988-08,0.027,
1988-09,0.027,
1988-10,0.027,
1988-11,0.027,
1988-12,0.027,
1989-01,0.027,
1989-02,0.027,
1989-03,0.027,
1989-04,0.027,
1989-05,0.027,
1989-06,0.027,
1989-07,0.027,
1989-08,0.027,
1989-09,0.027,
1989-10,0.027,
