"",BBK01.CELB0C,BBK01.CELB0C_FLAGS
"",long-term debt securities debtor: Total                               creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:05,
1999-01,-0.4,
1999-04,-0.3,
1999-07,-0.3,
1999-10,-1.5,
2000-01,0.6,
2000-04,3.2,
2000-07,-0.4,
2000-10,-0.6,
2001-01,-0.1,
2001-04,-0.4,
2001-07,-0.2,
2001-10,-0.8,
2002-01,-0.5,
2002-04,-0.2,
2002-07,-0.7,
2002-10,1.9,
2003-01,0.3,
2003-04,0.1,
2003-07,-0.3,
2003-10,1.6,
2004-01,0.2,
2004-04,0.1,
2004-07,0.6,
2004-10,0.5,
2005-01,0.7,
2005-04,0.0,
2005-07,0.2,
2005-10,-0.4,
2006-01,-0.7,
2006-04,0.4,
2006-07,0.2,
2006-10,-0.3,
2007-01,0.3,
2007-04,0.5,
2007-07,0.4,
2007-10,0.0,
2008-01,16.0,
2008-04,23.2,
2008-07,0.5,
2008-10,0.0,
2009-01,-1.6,
2009-04,0.7,
2009-07,2.3,
2009-10,1.9,
2010-01,0.0,
2010-04,6.7,
2010-07,-1.4,
2010-10,97.3,
2011-01,-8.9,
2011-04,-3.0,
2011-07,0.7,
2011-10,1.1,
2012-01,-4.8,
2012-04,0.8,
2012-07,-3.7,
2012-10,-2.4,
2013-01,-2.6,
2013-04,-2.6,
2013-07,-4.2,
2013-10,-1.6,
2014-01,-1.3,
2014-04,-1.2,
2014-07,0.1,
