"",BBSF2.M.1.T.00000.DSO01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.DSO01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Funds-of-funds: Other funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:01,
2009-09,8106,
2009-10,8519,
2009-11,9763,
2009-12,10089,
2010-01,10147,
2010-02,10566,
2010-03,10834,
2010-04,10786,
2010-05,10779,
2010-06,10792,
2010-07,10962,
2010-08,11064,
2010-09,11046,
2010-10,11209,
2010-11,11285,
2010-12,11218,
2011-01,11161,
2011-02,11382,
2011-03,11402,
2011-04,11526,
2011-05,11317,
2011-06,11177,
2011-07,11926,
2011-08,11526,
2011-09,11264,
2011-10,11408,
2011-11,11167,
2011-12,11278,
2012-01,11402,
2012-02,11533,
2012-03,11410,
2012-04,11556,
2012-05,11283,
2012-06,11410,
2012-07,11645,
2012-08,11576,
2012-09,11648,
2012-10,11595,
2012-11,11638,
2012-12,11654,
2013-01,11620,
2013-02,11706,
2013-03,11706,
2013-04,11839,
2013-05,11766,
2013-06,11232,
2013-07,11358,
2013-08,11236,
2013-09,11991,
2013-10,12328,
2013-11,12404,
2013-12,12279,
2014-01,12368,
2014-02,12313,
2014-03,12400,
2014-04,17813,
2014-05,18067,
2014-06,18144,
2014-07,18180,
2014-08,18227,
2014-09,18431,
2014-10,18460,
2014-11,19269,
