"",BBK01.OEHB20U,BBK01.OEHB20U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:38,
2002-01,3.100,
2002-04,3.118,
2002-07,3.145,
2002-10,3.170,
2003-01,3.166,
2003-04,3.186,
2003-07,3.232,
2003-10,3.280,
2004-01,3.271,
2004-04,3.308,
2004-07,3.344,
2004-10,3.356,
2005-01,3.320,
2005-04,3.326,
2005-07,3.353,
2005-10,3.361,
2006-01,3.341,
2006-04,3.350,
2006-07,3.360,
2006-10,3.339,
2007-01,3.301,
2007-04,3.269,
2007-07,3.257,
2007-10,3.231,
2008-01,3.187,
2008-04,3.174,
2008-07,3.168,
2008-10,3.164,
2009-01,3.139,
2009-04,3.153,
2009-07,3.209,
2009-10,3.225,
2010-01,3.212,
2010-04,3.236,
2010-07,3.257,
2010-10,3.281,
2011-01,3.264,
2011-04,3.291,
2011-07,3.316,
2011-10,3.339,
2012-01,3.334,
2012-04,3.361,
2012-07,3.401,
2012-10,3.423,
2013-01,3.450,
2013-04,3.482,
2013-07,3.532,
2013-10,3.583,
2014-01,3.610,
2014-04,3.659,
2014-07,3.728,
