"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.O.F81.T._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.O.F81.T._T._X.N_FLAGS
"",IIP - Other Investment - Trade credits and advances - Liabilities - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:46,
1999-10,46859,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,56875,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,62549,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,58663,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,59754,
2004-01,61182,
2004-04,61489,
2004-07,63072,
2004-10,64748,
2005-01,64984,
2005-04,67141,
2005-07,68409,
2005-10,71993,
2006-01,75320,
2006-04,77390,
2006-07,79305,
2006-10,81004,
2007-01,84253,
2007-04,88134,
2007-07,91489,
2007-10,93119,
2008-01,97953,
2008-04,102901,
2008-07,103829,
2008-10,97385,
2009-01,98512,
2009-04,100606,
2009-07,98604,
2009-10,99033,
2010-01,97863,
2010-04,101854,
2010-07,101938,
2010-10,101738,
2011-01,106747,
2011-04,107173,
2011-07,115469,
2011-10,114047,
2012-01,112171,
2012-04,113540,
2012-07,115769,
2012-10,94388,
2013-01,98055,
2013-04,96304,
2013-07,98066,
2013-10,97362,
2014-01,96473,
2014-04,96024,
2014-07,98083,
