"",BBK01.OECB20T,BBK01.OECB20T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:08,
2002-01,1.076,
2002-04,1.065,
2002-07,1.049,
2002-10,1.026,
2003-01,1.012,
2003-04,1.002,
2003-07,0.987,
2003-10,0.969,
2004-01,0.961,
2004-04,0.958,
2004-07,0.955,
2004-10,0.960,
2005-01,1.686,
2005-04,1.712,
2005-07,1.742,
2005-10,1.768,
2006-01,1.775,
2006-04,1.781,
2006-07,1.792,
2006-10,1.839,
2007-01,1.834,
2007-04,1.918,
2007-07,1.926,
2007-10,1.911,
2008-01,1.906,
2008-04,1.901,
2008-07,1.946,
2008-10,1.943,
2009-01,1.929,
2009-04,2.181,
2009-07,2.174,
2009-10,2.170,
2010-01,2.159,
2010-04,2.176,
2010-07,2.375,
2010-10,2.284,
2011-01,2.353,
2011-04,2.331,
2011-07,2.320,
2011-10,2.307,
2012-01,2.305,
2012-04,2.303,
2012-07,2.306,
2012-10,2.304,
2013-01,2.309,
2013-04,2.318,
2013-07,2.333,
2013-10,2.286,
2014-01,2.293,
2014-04,2.296,
2014-07,2.365,
