"",BBK01.CEB3C0,BBK01.CEB3C0_FLAGS
"",Securities other than shares debtor: General government                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:49,
1991-01,272.2,
1991-04,278.6,
1991-07,285.3,
1991-10,299.7,
1992-01,317.8,
1992-04,322.4,
1992-07,342.5,
1992-10,387.4,
1993-01,417.4,
1993-04,426.7,
1993-07,450.0,
1993-10,476.4,
1994-01,488.3,
1994-04,474.9,
1994-07,476.1,
1994-10,484.7,
1995-01,577.1,
1995-04,590.6,
1995-07,601.9,
1995-10,618.7,
1996-01,613.1,
1996-04,620.8,
1996-07,640.2,
1996-10,657.6,
1997-01,671.6,
1997-04,689.4,
1997-07,685.6,
1997-10,694.2,
1998-01,710.9,
1998-04,716.6,
1998-07,736.6,
1998-10,750.9,
1999-01,756.8,
1999-04,747.3,
1999-07,737.6,
1999-10,743.2,
2000-01,745.7,
2000-04,751.0,
2000-07,750.8,
2000-10,775.5,
2001-01,763.5,
2001-04,760.8,
2001-07,784.6,
2001-10,805.5,
2002-01,803.7,
2002-04,830.5,
2002-07,879.7,
2002-10,885.4,
2003-01,931.0,
2003-04,956.9,
2003-07,938.2,
2003-10,950.8,
2004-01,1002.4,
2004-04,997.9,
2004-07,1026.1,
2004-10,1049.3,
2005-01,1061.9,
2005-04,1111.5,
2005-07,1127.5,
2005-10,1127.1,
2006-01,1121.0,
2006-04,1121.9,
2006-07,1143.6,
2006-10,1152.0,
2007-01,1139.8,
2007-04,1125.4,
2007-07,1128.1,
2007-10,1153.6,
2008-01,1167.0,
2008-04,1159.3,
2008-07,1186.0,
2008-10,1256.1,
2009-01,1290.3,
2009-04,1334.1,
2009-07,1348.6,
2009-10,1369.9,
2010-01,1404.0,
2010-04,1459.6,
2010-07,1499.6,
2010-10,1485.4,
2011-01,1478.0,
2011-04,1526.6,
2011-07,1619.2,
2011-10,1611.8,
2012-01,1656.9,
2012-04,1725.1,
2012-07,1722.0,
2012-10,1746.6,
2013-01,1746.2,
2013-04,1716.4,
2013-07,1678.1,
2013-10,1687.1,
2014-01,1716.4,
