"",BBK01.OEBJ03S,BBK01.OEBJ03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:20,
2002-01,0.468,
2002-04,0.471,
2002-07,0.454,
2002-10,0.414,
2003-01,0.396,
2003-04,0.379,
2003-07,0.362,
2003-10,0.323,
2004-01,0.301,
2004-04,0.244,
2004-07,0.216,
2004-10,0.260,
2005-01,0.233,
2005-04,0.214,
2005-07,0.211,
2005-10,0.256,
2006-01,0.291,
2006-04,0.283,
2006-07,0.329,
2006-10,0.359,
2007-01,0.454,
2007-04,0.469,
2007-07,0.523,
2007-10,0.566,
2008-01,0.583,
2008-04,0.618,
2008-07,0.628,
2008-10,0.570,
2009-01,0.333,
2009-04,0.259,
2009-07,0.204,
2009-10,0.204,
2010-01,0.186,
2010-04,0.174,
2010-07,0.182,
2010-10,0.187,
2011-01,0.251,
2011-04,0.207,
2011-07,0.222,
2011-10,0.507,
2012-01,0.551,
2012-04,0.631,
2012-07,0.647,
2012-10,0.669,
2013-01,0.335,
2013-04,0.651,
2013-07,0.642,
2013-10,0.599,
2014-01,0.619,
2014-04,0.643,
2014-07,0.620,
