"",BBK01.OEHB18H,BBK01.OEHB18H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:16,
2002-01,2.269,
2002-04,2.332,
2002-07,2.394,
2002-10,2.364,
2003-01,2.240,
2003-04,2.282,
2003-07,2.241,
2003-10,2.150,
2004-01,2.018,
2004-04,2.002,
2004-07,2.005,
2004-10,1.911,
2005-01,1.823,
2005-04,1.843,
2005-07,1.834,
2005-10,1.743,
2006-01,1.651,
2006-04,1.691,
2006-07,1.686,
2006-10,1.622,
2007-01,1.515,
2007-04,1.483,
2007-07,1.518,
2007-10,1.510,
2008-01,1.476,
2008-04,1.481,
2008-07,1.523,
2008-10,1.541,
2009-01,1.526,
2009-04,1.554,
2009-07,1.563,
2009-10,1.484,
2010-01,1.424,
2010-04,1.440,
2010-07,1.426,
2010-10,1.326,
2011-01,1.307,
2011-04,1.317,
2011-07,1.314,
2011-10,1.244,
2012-01,1.212,
2012-04,1.196,
2012-07,1.174,
2012-10,1.114,
2013-01,1.095,
2013-04,1.112,
2013-07,1.138,
2013-10,1.088,
2014-01,1.095,
2014-04,1.123,
2014-07,1.118,
